datadate,gind,gsector,gsubind,naics,sic,spcindcd,tic
10/31/1990,452010,45,45201020,334210,3661,180,ADCT
10/31/1991,452010,45,45201020,334210,3661,180,ADCT
10/31/1992,452010,45,45201020,334210,3661,180,ADCT
10/31/1993,452010,45,45201020,334210,3661,180,ADCT
10/31/1994,452010,45,45201020,334210,3661,180,ADCT
10/31/1995,452010,45,45201020,334210,3661,180,ADCT
10/31/1996,452010,45,45201020,334210,3661,180,ADCT
10/31/1997,452010,45,45201020,334210,3661,180,ADCT
10/31/2004,452010,45,45201020,334210,3661,180,ADCT
10/31/2005,452010,45,45201020,334210,3661,180,ADCT
10/31/2006,452010,45,45201020,334210,3661,180,ADCT
10/31/2007,452010,45,45201020,334210,3661,180,ADCT
10/31/2008,452010,45,45201020,334210,3661,180,ADCT
9/30/2009,452010,45,45201020,334210,3661,180,ADCT
9/30/2010,452010,45,45201020,334210,3661,180,ADCT
12/31/1990,203020,20,20302010,481111,4512,605,AAL
12/31/1991,203020,20,20302010,481111,4512,605,AAL
12/31/1992,203020,20,20302010,481111,4512,605,AAL
12/31/1993,203020,20,20302010,481111,4512,605,AAL
12/31/1994,203020,20,20302010,481111,4512,605,AAL
12/31/1995,203020,20,20302010,481111,4512,605,AAL
12/31/1996,203020,20,20302010,481111,4512,605,AAL
12/31/1997,203020,20,20302010,481111,4512,605,AAL
12/31/1998,203020,20,20302010,481111,4512,605,AAL
12/31/1999,203020,20,20302010,481111,4512,605,AAL
12/31/2000,203020,20,20302010,481111,4512,605,AAL
12/31/2001,203020,20,20302010,481111,4512,605,AAL
12/31/2002,203020,20,20302010,481111,4512,605,AAL
12/31/2003,203020,20,20302010,481111,4512,605,AAL
12/31/2004,203020,20,20302010,481111,4512,605,AAL
12/31/2005,203020,20,20302010,481111,4512,605,AAL
12/31/2006,203020,20,20302010,481111,4512,605,AAL
12/31/2007,203020,20,20302010,481111,4512,605,AAL
12/31/2008,203020,20,20302010,481111,4512,605,AAL
12/31/2009,203020,20,20302010,481111,4512,605,AAL
12/31/2010,203020,20,20302010,481111,4512,605,AAL
12/31/2011,203020,20,20302010,481111,4512,605,AAL
12/31/2012,203020,20,20302010,481111,4512,605,AAL
12/31/2013,203020,20,20302010,481111,4512,605,AAL
12/31/2014,203020,20,20302010,481111,4512,605,AAL
12/31/2015,203020,20,20302010,481111,4512,605,AAL
12/31/2016,203020,20,20302010,481111,4512,605,AAL
12/31/2017,203020,20,20302010,481111,4512,605,AAL
12/31/1990,551010,55,55101010,2211,4911,705,PNW
12/31/1991,551010,55,55101010,2211,4911,705,PNW
12/31/1992,551010,55,55101010,2211,4911,705,PNW
12/31/1993,551010,55,55101010,2211,4911,705,PNW
12/31/1994,551010,55,55101010,2211,4911,705,PNW
12/31/1995,551010,55,55101010,2211,4911,705,PNW
12/31/1996,551010,55,55101010,2211,4911,705,PNW
12/31/1997,551010,55,55101010,2211,4911,705,PNW
12/31/1998,551010,55,55101010,2211,4911,705,PNW
12/31/1999,551010,55,55101010,2211,4911,705,PNW
12/31/2000,551010,55,55101010,2211,4911,705,PNW
12/31/2001,551010,55,55101010,2211,4911,705,PNW
12/31/2002,551010,55,55101010,2211,4911,705,PNW
12/31/2003,551010,55,55101010,2211,4911,705,PNW
12/31/2004,551010,55,55101010,2211,4911,705,PNW
12/31/2005,551010,55,55101010,2211,4911,705,PNW
12/31/2006,551010,55,55101010,2211,4911,705,PNW
12/31/2007,551010,55,55101010,2211,4911,705,PNW
12/31/2008,551010,55,55101010,2211,4911,705,PNW
12/31/2009,551010,55,55101010,2211,4911,705,PNW
12/31/2010,551010,55,55101010,2211,4911,705,PNW
12/31/2011,551010,55,55101010,2211,4911,705,PNW
12/31/2012,551010,55,55101010,2211,4911,705,PNW
12/31/2013,551010,55,55101010,2211,4911,705,PNW
12/31/2014,551010,55,55101010,2211,4911,705,PNW
12/31/2015,551010,55,55101010,2211,4911,705,PNW
12/31/2016,551010,55,55101010,2211,4911,705,PNW
