Date,eps,sps,prof_mar,lgro,roic,ninc,gmar,cfo,cf,sg,fpe,fpb,pe,pb,mom,cfni,art,ar,goodwill,leve,tar,rc,inv_turn,spread,quick,a_turn
4/30/1990,0.087753223,0.052389396,0.03671382,,,0.054830773,,,,0.017793797,,,0.087189987,0.057640252,-0.059425098,0.021568406,0.031631035,0.031631035,,-0.119311898,,,,,-0.002799585,0.031631035
5/31/1990,-0.023434163,0.019472448,0.204551136,,,0.062144096,,,,0.092887546,,,0.093971715,0.250243345,0.037914251,0.00157014,-0.016450207,-0.016450207,,-0.105985143,,,,,0.279643968,-0.016450207
6/30/1990,-0.006115378,-0.010431603,0.127705253,,,0.058047923,,,,0.040832002,,,-0.024125578,0.161458178,0.068810794,-0.057002106,0.076816988,0.076816988,,-0.149091252,,,,,0.006344743,0.076816988
7/31/1990,-0.097363217,-0.20830042,0.104818574,,-0.108354919,-0.01356259,,,-0.093615483,-0.06653172,,,-0.033403926,0.06727608,-0.070817203,-0.036924899,-0.003163386,-0.003163386,,0.034950181,,,-0.035947274,,-0.053770664,-0.076988895
8/31/1990,-0.081616335,-0.018532024,0.062595986,,-0.04446248,0.197649369,,,-0.024550309,-0.041618907,,,0.029553402,-0.015204602,0.113060689,-0.138853815,0.024668422,0.024668422,,-0.331446169,,,-0.053472648,,-0.065227387,-0.053409592
9/30/1990,-0.084081296,-0.08921508,0.120269262,,-0.040021288,0.007753246,,,-0.075297355,-0.013391425,,,-0.002985344,0.072579146,0.33941429,-0.292938119,-0.003039319,-0.003039319,,-0.1417731,,,0.034793808,,0.041924738,0.03306819
10/31/1990,0.127811531,0.061488924,0.123606763,,0.022642316,0.083772609,,,0.043813726,0.018823836,,,0.071117441,0.1583341,0.2770537,-0.110145933,0.010292168,0.010292168,,-0.077690772,,,0.014479546,,-0.022371673,0.006468042
11/30/1990,-0.015551777,0.015225461,0.088037613,,0.172816187,0.029350625,,,-0.019049788,0.205613649,,,0.147281297,-0.027501117,-0.157790622,0.00412216,0.108012669,0.108012669,,-0.180988758,,,0.034425086,,0.137590303,0.070715979
12/31/1990,0.091643442,0.051443667,0.022997001,,0.084509094,-0.007903798,,,0.015440381,0.06273537,,,0.079760048,-0.258730237,-0.163609718,-0.000484747,0.011138022,0.011138022,,0.048394507,,,0.042440492,,-0.006311403,0.05372783
1/31/1991,0.183408087,0.017662034,-0.264682606,,0.025445801,-0.052011403,,,0.010255165,0.00320896,,,-0.032965662,-0.166594498,-0.452151684,0.095241578,-0.0105536,-0.0105536,,0.321695266,,,-0.046170397,,0.038218428,-0.009954816
2/28/1991,-0.071039938,-0.015338541,0.014753642,,0.00522793,0.030875893,,,-0.057387482,0.044863296,,,0.043240915,0.076140541,-0.248596604,0.103744981,0.051500833,0.051500833,,0.063577561,,,0.050179164,,0.107827594,0.00647772
3/31/1991,0.040944935,-0.019493918,0.010256364,,0.141323216,-0.065891876,,,0.044737256,0.060968097,,,-0.105313401,0.075495977,0.280447176,0.012686462,-0.029671758,-0.029671758,,0.047262547,,,-0.035435608,,-0.001844795,0.096281213
4/30/1991,0.046532268,-0.018107371,0.098351104,,-0.040186423,0.111742033,,,-0.007548432,0.022164823,,,0.040121222,0.054859365,0.019381524,0.07858242,0.029105953,0.029105953,,-0.092563322,,,-0.007534734,,-0.08451267,-0.09738688
5/31/1991,0.032479591,0.142343131,-0.061999514,,-0.01247455,-0.001441081,,,0.063636094,-0.127136439,,,0.216266373,-0.086479827,0.105720447,-0.047768426,0.001567024,0.001567024,,0.148422849,,,0.034686387,,0.08104972,0.087003388
6/30/1991,-0.002048277,0.042495043,0.013645534,,0.055385637,-0.033356756,,,-0.036552319,-0.123040993,,,-0.183766535,0.064373247,-0.120040248,-0.164041352,-0.03227401,-0.03227401,,-0.104833725,,,-0.116578521,,-0.078527841,0.018782494
7/31/1991,0.064178053,-0.03266778,0.17539139,,0.187924609,0.04203652,,,-0.010594935,-0.004150167,,,0.171122577,0.150426837,0.075191627,-0.045391116,0.005787541,0.005787541,-0.056379873,0.094119877,,,-0.000736223,,0.051718751,0.024381287
8/31/1991,0.031061662,0.017464711,-0.057739594,,0.097910618,-0.310051966,,,0.073466929,-0.110978037,,,0.039799452,0.028344376,0.136219476,0.105169737,-0.015386805,-0.015386805,-0.068871095,-0.03070897,,,0.038906531,,-0.05673035,-0.002211705
9/30/1991,-0.065415656,-0.072852666,0.118667074,,0.019583983,0.148090385,,,0.064009979,0.038145597,,,-0.157232907,-0.011408474,0.064427702,-0.120735412,-0.034533433,-0.034533433,0.068952216,-0.061121713,,,-0.157284155,,-0.109207029,-0.182444526
10/31/1991,0.124660431,0.124589621,0.037009688,,0.021267047,0.028319187,,,0.078204847,-0.042721703,,,-0.052245485,-0.128380396,0.105728346,0.018249202,0.002658802,0.002658802,0.097589882,0.008820792,,,-0.015227895,,-0.059115638,0.007857046
11/30/1991,0.040764646,0.013722266,0.163759087,,0.096460497,0.133215327,,,0.005466124,0.074164529,,,-0.108702455,-0.057291262,0.043732738,-0.164055166,-0.001752516,-0.001752516,0.034897858,-0.143068366,,,0.015140701,,-0.102448537,-0.007313058
12/31/1991,0.1205216,0.085678876,0.124857951,,0.271296366,0.063271366,,,0.0067131,0.151284545,,,-0.052518754,0.063388703,0.095384273,-0.084755808,-0.146601063,-0.146601063,0.047991762,0.113395803,,,0.034543847,,0.131694063,0.154553477
1/31/1992,-0.03332664,0.143155128,-0.040625792,,-0.215745255,0.035667757,,,0.051562524,-0.044854803,,,-0.025499487,-0.174269781,-0.206608566,-0.069832237,0.066845782,0.066845782,-0.082717731,0.08822827,,,0.121644054,,-0.089569355,-0.012997674
2/29/1992,0.039198096,0.079395217,-0.044197363,,-0.198670197,0.039362453,,,0.044523668,-0.041374313,,,0.054374956,-0.174346946,-0.001117084,0.00809898,-0.039181725,-0.039181725,-0.000211905,0.008029705,,,0.15354999,,0.054308205,-0.034509137
3/31/1992,-0.152180821,-0.022906794,-0.006141823,,-0.075215731,0.033374398,,,-0.076486213,-0.129769104,-0.033433633,,-0.050564146,-0.299816345,-0.059472295,-0.056214879,0.066867405,0.066867405,-0.051087037,-0.04072393,,,0.026097512,,-0.057766943,-0.015956237
4/30/1992,-0.002641302,0.00332179,-0.236883647,,-0.164867892,-0.177117882,,,-0.115085526,-0.214919306,0.05438305,,0.064929464,0.031456715,-0.220560102,0.019676648,-0.079542918,-0.079542918,0.004612655,0.054354936,,,0.006025683,,-0.089990388,-0.133066771
5/31/1992,0.0385435,-0.045335741,0.015774678,,0.006093517,0.019642274,,,0.103315044,0.063064897,-0.057155797,,-0.002433451,-0.01342324,-0.268459763,-0.003587887,-0.053812016,-0.053812016,-0.002371079,-0.069913841,,,-0.02478115,,-0.033464707,-0.049961681
6/30/1992,0.033726803,-0.067876866,0.082392238,,0.024156851,-0.021533384,,,0.051985693,-0.018396601,0.118344436,,-0.091616897,0.082119299,-0.102396626,0.026162074,0.068973665,0.068973665,0.072575538,-0.131687776,,,-0.081337553,,-0.155000565,-0.131974123
7/31/1992,0.030320013,0.062241241,0.062467658,,0.064863375,0.075531369,,,0.016450437,0.10295357,0.108771273,,-0.082556129,-0.011859147,0.005280835,0.016287609,-0.034422322,-0.034422322,-0.047646452,0.099947339,,,0.035992019,,0.030476276,0.106469286
8/31/1992,-0.028873426,-0.093132706,0.062449964,,0.17138198,-0.117791272,,,0.043178779,-0.023562049,0.021320431,,-0.098773542,-0.027617776,-0.10213654,0.10598958,0.016509214,0.016509214,-0.036327307,-0.219338319,,,-0.015044192,,-0.040153762,-0.029191994
9/30/1992,0.033506083,0.021055511,-0.005602826,,-0.042147716,-0.068136669,,,-0.246970676,0.076920389,-0.009372748,,0.0182152,-0.263015393,-0.053431432,-0.035874889,-0.006323117,-0.006323117,-0.026816798,-0.040363629,,,0.013945618,,0.08377527,-0.011166618
10/31/1992,0.128437643,0.008065782,-0.019163065,,0.204085748,0.041511065,,,-0.010415096,0.169367264,,,-0.165133555,-0.083600116,-0.004855671,-0.072810365,0.051297228,0.051297228,0.00589769,-0.045157382,,,0.016806331,,0.081565428,0.124637526
11/30/1992,0.103421915,-0.002739085,0.064291483,,-0.00083363,0.092974381,,,0.040714835,0.166220151,,,0.017459829,-0.262056533,0.126757025,0.016286618,0.080802753,0.080802753,0.054290215,0.12218343,,,0.089766203,,0.027282831,0.18816589
12/31/1992,0.031572409,0.146716906,0.031839346,,-0.010025672,-0.023753393,,,0.071603761,-0.067840876,,,-0.242161709,0.015940573,0.051704516,-0.034649989,0.068923367,0.068923367,0.003506863,0.035967663,,,-0.053598345,,0.071131473,-0.081809919
1/31/1993,0.098068228,0.086739997,-0.004278596,,-0.155612254,-0.082480601,,,0.11615883,0.082503471,,,0.057086067,-0.186038496,0.036643492,0.091631663,-0.017873266,-0.017873266,0.047257391,0.16936065,,,0.026467928,,-0.030084453,0.026187543
2/28/1993,-0.058164926,0.03036441,-0.124960183,,-0.080605726,-0.094471137,,,-0.010448825,-0.132678024,,,0.086602708,0.051343889,0.010847548,0.023721601,-0.066295548,-0.066295548,-0.007167975,0.052334429,,,0.024118943,,-0.1018953,-0.136636335
3/31/1993,-0.035881387,-0.079789372,-0.047608106,,0.031383506,0.050834957,,,-0.000996508,-0.116031689,,,-0.058140201,0.078914497,-0.026987844,-0.000650502,0.038064364,0.038064364,-0.012102982,0.083978893,,,0.011960329,,-0.001656837,0.038081089
4/30/1993,-0.079178471,-0.027812595,0.066597693,,-0.007041421,0.005147538,,,-0.046278132,-0.08831869,,,0.131251476,-0.149461026,-0.115971421,0.075287609,0.003969815,0.003969815,0.001778308,-0.047121126,,,-0.021942156,,-0.075092669,-0.117052917
5/31/1993,-0.043218081,0.206550832,-0.088516644,,0.098724883,-0.012656591,,,0.074671025,0.171377338,,,0.022818473,-0.231520391,-0.002979982,0.013499833,0.025832793,0.025832793,-0.048675044,-0.04781996,,,-0.06685763,,0.104042402,0.108841371
6/30/1993,0.028891366,-0.009877403,-0.040146227,,-0.241448817,-0.065390215,,,0.166626376,-0.032050204,,,-0.062618528,-0.10718885,-0.050129991,0.044668214,-0.078631455,-0.078631455,0.02929714,0.138752412,,,-0.107697138,,-0.081623429,-0.233076544
7/31/1993,-0.063688431,-0.066755307,0.103363758,,-0.161399868,-0.054505014,,,-0.001279183,-0.10645192,,,-0.023756183,0.249951021,-0.059888115,-0.022690559,0.05168994,0.05168994,-0.017665986,0.127097099,,,0.046097592,,-0.096325713,-0.125005591
8/31/1993,0.081106112,0.096647844,0.06904117,,0.156321142,-0.080326674,,,0.044765155,0.120935683,,,-0.032889579,-0.185965165,0.148519406,-0.050287827,0.050864319,0.050864319,0.054572168,0.025415109,,,0.050819253,,-0.01601234,0.077438215
9/30/1993,0.024846686,0.005186535,-0.113974898,,-0.073429638,0.079129687,,,-0.048646745,-0.011343643,,,-0.294601154,-0.068259614,0.010001405,0.057227447,-0.126349943,-0.126349943,0.013377247,-0.039787256,,,-0.042587514,,-0.154733264,-0.122508438
10/31/1993,0.099470325,0.022787203,0.004020294,,0.023899597,0.111160366,,,0.020056817,0.013513,-0.014020464,,0.045829877,0.026660514,-0.003825412,-0.065763185,0.051133652,0.051133652,0.010948947,0.020661006,,,0.140018927,,0.084836631,0.109349044
11/30/1993,0.095238156,0.050910234,-0.01893262,,0.118993004,-0.002386841,,,0.031906526,-0.016645011,-0.026507331,,0.101984415,0.153182061,0.00877943,-0.022844986,0.02991576,0.02991576,-0.046022363,-0.056423106,,,-0.002814294,,0.059787311,0.131440325
12/31/1993,0.024797925,0.055876423,0.119072722,,0.011539048,0.033163984,,,-0.015942794,-0.020035072,-0.028771269,,-0.002525918,-0.215252224,0.042191354,0.113915964,0.019668134,0.019668134,-0.022317282,-0.063469002,,,0.008078793,,0.001830805,-0.006265782
1/31/1994,0.095463478,-0.018416979,0.007324887,,-0.014484677,0.113872424,,,-0.019879753,0.047311328,0.035891026,,-0.058961648,-0.113865052,0.034857116,0.151643374,-0.057103116,-0.057103116,0.060320881,0.056538936,,,0.05612814,,0.032671639,0.007254695
2/28/1994,0.038351928,0.096269816,-0.015951113,,0.092109073,0.148113473,,,0.064008491,0.107774475,-0.051717309,,-0.04415011,0.027923849,-0.055007095,-0.083513069,0.071837903,0.071837903,-0.034864191,-0.112335454,0.031184299,0.031184299,0.039132575,,0.036140005,0.305963929
3/31/1994,-0.026007768,-0.054940653,-0.066867555,,-0.072004027,0.046860236,,,-0.008499366,-0.14315059,0.02398392,,0.008011348,-0.023245722,0.037972167,0.050629579,0.05532882,0.05532882,-0.043609874,-0.132416173,-0.079478491,-0.079478491,-0.121755694,,-0.073368318,-0.074746802
4/30/1994,0.08157709,0.001958991,-0.008982253,,-0.001903072,-0.061866896,,,0.010070122,0.102055315,-0.022737749,,0.035624687,0.009501227,-0.003887063,-0.004444308,0.007894509,0.007894509,-0.01710168,0.071937902,-0.055025845,-0.055025845,-0.051332558,,-0.19730725,-0.085076661
5/31/1994,0.047700161,0.102717746,0.022241241,,0.095441951,-0.049798461,,,-0.013027092,-0.064670215,0.060185428,,0.101172938,0.070389936,-0.134212551,0.006897222,-0.041893988,-0.041893988,0.146812575,-0.050121388,-0.194827166,-0.194827166,-0.060880456,,0.071499598,-0.084997893
