tic,Gsector,Gind,Gsubind
ADCT,45,452010,45201020
AAL,20,203020,20302010
PNW,55,551010,55101010
ABT,35,351010,35101010
AMT.1,45,452010,45201020
AMD,45,453010,45301020
MCIP,50,501010,50101020
AET,35,351020,35102030
AHM.1,40,401010,40101010
APD,15,151010,15101040
ALK,20,203020,20302010
ABS.1,30,301010,30101030
AL.1,15,151040,15104010
IKN,20,202010,20201060
AAL.1,40,403010,40301010
AYE,55,551010,55101010
HON,20,201050,20105010
AT.2,50,501020,50102010
SWKS,45,453010,45301020
AA.3,15,151040,15104010
AMX.2,15,151040,15104020
HES,10,101020,10102020
AMH.1,45,452020,45202010
BEAM,30,302010,30201020
ACY.1,35,352020,35202010
AEP,55,551010,55101010
AXP,40,402020,40202010
AFL,40,403010,40301020
AGC.1,40,403010,40301020
AM.1,25,252010,25201050
WYE,35,352020,35202010
AIT.1,50,501010,50101020
AIG,40,403010,40301030
TT.2,20,201020,20102010
ASC.1,30,301010,30101030
T.2,50,501010,50101020
AME,20,201040,20104010
AMP.2,20,201040,20104010
AN.2,10,101020,10102010
ASO.1,40,401010,40101015
ADI,45,453010,45301020
ANDW,45,452010,45201020
NBR,10,101010,10101010
BUD.2,30,302010,30201010
APA,10,101020,10102020
AMAT,45,453010,45301010
ADM,30,302020,30202010
CNP2,55,551020,55102010
AS.,15,151040,15104050
3ACKH,20,201020,20102010
AR.2,15,151040,15104020
ASH,15,151010,15101050
AFS,40,402010,40201020
SO7,55,551020,55102010
ARC.3,10,101020,10102010
ADSK,45,451030,45103010
ADP,45,451020,45102020
AVY,15,151030,15103020
AVP,30,303020,30302010
BHI,10,101010,10101020
BLL,15,151030,15103010
BLY,25,253010,25301010
CEG,55,551050,55105010
ONE.1,40,401010,40101010
BKB.2,40,401010,40101010
BK,40,402030,40203010
BAC.Z.,40,401010,40101010
BT.2,40,401010,40101010
BCR,35,351010,35101010
BBI.2,40,401010,40101010
BSET,25,252010,25201020
6583B,35,351010,35101020
BAX,35,351010,35101010
BDX,35,351010,35101010
VZ,50,501010,50101020
BLS,50,501010,50101020
BMS,15,151030,15103020
BNL.1,40,402010,40201010
BRK.B,40,402010,40201030
BBY,25,255040,25504020
3BHMSQ,15,151040,15104050
BEV,35,351020,35102020
BGEN,35,352010,35201010
5938B,35,351010,35101010
BDK,25,252010,25201040
ESV,10,101010,10101010
BOAT.,40,401010,40101010
BA,20,201010,20101010
OMX,25,255040,25504040
0141A,15,151010,15101020
BGG,20,201060,20106020
BMY,35,352020,35202010
BNSSA,20,201060,20106020
BF.B,30,302010,30201020
CAL,25,255040,25504010
BFI.,20,202010,20201050
BRNO20,30,301010,30101030
BC,25,252020,25202010
BRK3,20,203040,20304010
UIS,45,451020,45102010
CBS.1,25,254010,25401020
CI,35,351020,35102030
CIT.1,40,402010,40201020
CNA,40,403010,40301040
BFO.2,30,302020,30202030
CSX,20,203040,20304010
CPB,30,302020,30202030
STZ,30,302010,30201020
CCB.2,25,254010,25401020
PVN,40,402020,40202010
CAH,35,351020,35102010
DUK8,55,551010,55101010
BWY.1,25,255030,25503010
CAT,20,201060,20106010
CTX.2,25,252010,25201030
CSR.1,55,551010,55101010
BBVA1,40,401010,40101015
CTL,50,501010,50101010
CHA.3,15,151050,15105020
CMB.1,40,401010,40101010
JPM,40,401010,40101010
CVX,10,101020,10102010
C.3,25,251020,25102010
CB.1,40,403010,40301040
CHD,30,303010,30301010
MZIAQ,20,201060,20106020
CCTYQ,25,255040,25504020
CTAS,20,202010,20201070
3614B,40,401010,40101010
CKL,20,201060,20106010
IHRTQ,25,254010,25401020
CLF,15,151040,15104050
CLX,30,303010,30301010
EP2,10,101020,10102040
KO,30,302010,30201030
CL,30,303010,30301010
NI2,55,551020,55102010
AON,40,403010,40301010
CMCSA,25,254010,25401025
CMA,40,401010,40101015
C,40,401010,40101010
UCM.2,55,551010,55101010
CAR,20,203040,20304020
CPQ.2,45,452020,45202010
DXC,45,451020,45102010
CAG,30,302020,30202030
ED,55,551030,55103010
CNW,20,203040,20304020
D2,55,551020,55102010
CRR.3,20,203050,20305020
CMS,55,551030,55103010
CIC.3,40,403010,40301040
4622B,45,451020,45102020
CBE,20,201040,20104010
CTB,25,251010,25101020
COO,35,351010,35101020
TAP,30,302010,30201010
CFL.1,40,401010,40101010
GLW,45,452030,45203015
CFC.3,40,401020,40102010
CR,20,201060,20106020
CTCO.1,20,201060,20106020
CCK,15,151030,15103010
CMI,20,201060,20106010
DIGI.1,45,452010,45201020
DAN,25,251010,25101010
DHR,35,351010,35101010
DGN.,45,452020,45202010
CTLE.,25,255020,25502020
TGT,25,255030,25503020
DE,20,201060,20106015
DAL,20,203020,20302010
DLX,20,202010,20201010
DTE,55,551030,55103010
MXS,10,101020,10102020
DEC.1,45,452020,45202010
DDS,25,255030,25503010
DIS,25,254010,25401030
D,55,551030,55103010
RRD,20,202010,20201010
DOV,20,201060,20106020
DWDP,15,151010,15101020
DJ,25,254010,25401040
OMC,25,254010,25401010
DI.,10,101010,10101020
DD,15,151010,15101020
DUK,55,551010,55101010
DNB,20,202020,20202020
FLS,20,201060,20106020
PKI,35,352030,35203010
ESY.1,20,201010,20101010
EFU.1,55,551020,55102010
KODK,45,452020,45202030
ETN,20,201040,20104010
ECH.1,25,251010,25101010
ECL,15,151010,15101050
EP,10,101020,10102040
EMR,20,201040,20104010
WFT,10,101010,10101020
EC.2,15,151010,15101020
ATO,55,551020,55102010
TXU2,55,551020,55102010
EFX,20,202020,20202020
EQT,10,101020,10102020
NEU,15,151010,15101050
XOM,10,101020,10102010
FMC,15,151010,15101030
NEE,55,551010,55101010
FJCC,25,252010,25201040
FDX,20,203010,20301010
FNMA,40,401020,40102010
FBO,15,151050,15105020
FRT,60,601010,60101070
M,25,255030,25503010
FITB,40,401010,40101015
RF,40,401010,40101015
USB.1,40,401010,40101010
FNB.,40,401010,40101010
MTB,40,401010,40101015
FFB,40,401010,40101010
I.1,40,401010,40101010
CEM.2,15,151010,15101050
USB,40,401010,40101010
FHN,40,401010,40101015
WB.3,40,401010,40101010
FBF,40,401010,40101010
FLTWQ,25,251020,25102010
FLMIQ,30,301010,30101020
PGN3,55,551010,55101010
FLR,20,201030,20103010
F,25,251020,25102010
FWLT,20,201030,20103010
BEN,40,402030,40203010
GTE.1,50,501010,50101020
AJG,40,403010,40301010
TGNA,25,254010,25401020
DNA,35,352010,35201010
H.2,25,254010,25401040
GD,20,201010,20101010
GE,20,201050,20105010
GIC.3,45,452010,45201020
