Date,0033A,0141A,3ACKH,3BHMSQ,3PNAA.,4622B,9975B,AA.3,AAL,ABI.3,ABT,ACV.1,ACY.1,AEP,AHM.1,AL.1,AMP.2,AMT.1,AMX.2,AN.2,ANV.1,AR.2,ARC.3,AS.,AVATQ,AVP,AXP,BA,BAX,BC,BCR,BDK,BDX,BEAM,BFI.,BFO.2,BGG,BHI,BMY,BNL.1,BNSSA,BRK3,BWY.1,C.3,C2,CAL,CAT,CBE,CBS.1,CBS.2,CCB.2,CCK,CEG,CEM.2,CHA.3,CI,CKL,CL,CLX,CMI,COP,CPB,CR,CSR.1,CSX,CUE.1,CVS,CVX,D,D2,DAL,DAN,DD,DE,DEC.1,DI.,DOW2,DTE,DWDP,ECH.1,ED,EFU.1,EIX,EMR,ENRNQ,ETN,ETR,EXC,F,FBNIQ,FBO,FE,FJCC,FL,FLTWQ,FMC,FWLT,G.1,GAPTQ,GCO,GD,GE,GEB.1,GIS,GLW,GM,GP.1,GPC,GQ.1,GR,GRA,GT,GTE.1,GWF.,GWOW,HAL,HBC1,HBJ,HDLM,HIA.1,HLT,HM,HON,HON.Z,HPC,HPQ,HST,HSY,IBM,IFF,IK,INCLF,IP,IR,ITT,JCP,JNJ,K,KHC,KMB,KO,KODK,KR,KRI,LCE,LLX.,LLY,LPX,MAY.2,MCA.1,MCD,MD.1,MDP,MDR,MEA.1,MKG,ML.3,MMM,MO,MOB.2,MRK,MROX.CM,MSI,MWV,MYG.1,MZIAQ,NAV,NC,NCR,NEM,NI2,NL,NMK,NSC,OAT.,OC,OKE,OMX,PAS,PBI,PCG,PCH,PD.1,PEG,PEL.1,PEP,PFE,PG,PGL.1,PHA.1,PPG,PRDCQ,PZSM.CM,RACM.CM,RAD,RDPL,RLM.1,ROK,RSHCQ,RTN,RYI,S.1,SFX.2,SGP,SHLDQ,SHW,SKY.1,SLB,SMI.1,SNT.1,SO,SPGI,SPP.3,SPXC,SQD.1,SRE,SUN.1,T.2,TEK.1,TGNA,TKA.,TKR,TMC,TNB,TRW.1,TWX.1,TX.2,TXN,TXU2,UAL,UCC.2,UCL,UCM.2,UH,UIS,UN,UNP,USG,UTX,VAT,VO.3,WHR,WINN,WLA,WMB,WWY,WY,WYE,XEL,XOM,XRX,ZE
1990-01-31,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,#N/A Invalid Security,,#N/A Invalid Security,#N/A Invalid Security,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,20.1531,,,,,,,#N/A Invalid Security,#N/A Invalid Security,,,,#N/A Invalid Security,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,11.300999999999998,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,#N/A Invalid Security,#N/A Invalid Security,,,,,,,,,#N/A Invalid Security,,#N/A Invalid Security,,,,#N/A Invalid Security,,,10.1926,,#N/A Invalid Security,,#N/A Invalid Security,,,#N/A Invalid Security,,#N/A Invalid Security,,,,,,,,,,,,11.3458,,,,#N/A Invalid Security,,7.1166,,,#N/A Invalid Security,,,,#N/A Invalid Security,,#N/A Invalid Security,,,10.9756,#N/A Invalid Security,#N/A Invalid Security,,,#N/A Invalid Security,,,#N/A Invalid Security,,,,#N/A Invalid Security,,4.6236,,,15.2434,,,,6.4489,,,10.5983,16.1154,,,,20.3171,,,,,,,,#N/A Invalid Security,#N/A Invalid Security,,#N/A Invalid Security,,,#N/A Invalid Security,,#N/A Invalid Security,,,#N/A Invalid Security,,#N/A Invalid Security,,,#N/A Invalid Security,,,,,,#N/A Invalid Security,,,,,,,,,,,,#N/A Invalid Security,,#N/A Invalid Security,,,,#N/A Invalid Security,#N/A Invalid Security,,,#N/A Invalid Security,#N/A Invalid Security,,,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,,,,#N/A Invalid Security,,#N/A Invalid Security,#N/A Invalid Security,,,#N/A Invalid Security,,#N/A Invalid Security,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,#N/A Invalid Security,,#N/A Invalid Security,,#N/A Invalid Security,,,,,,,,#N/A Invalid Security,,,,,,,,,17.1533,,
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7262,,,,,,,,,,,,,,,,,,12.6923,12.3724,,,,,,,,,,,,,,,,,,,,,,,,,,10.5626,,,,,,,,,,,,,,,,,,,,,11.7141,,,,,12.2201,6.2794,,,,,,,,,,,,10.2896,,,,,,,,,,,,,,4.4808,,,16.0549,,,,6.4489,,,10.4398,16.5,,,,20.7965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1533,,
1990-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2113,,,,,,,,,,,,,,,,,,12.6282,13.644,,,,,,,,,,,,,,,,,,,,,,,,,,10.722000000000001,,,,,,,,,,,,,,,,,,,,,12.4018,,,,,13.1841,7.3957,,,,,,,,,,,,17.8385,,,,,,,,,,,,,,4.7535,,,15.9108,,,,6.7187,,,10.8558,18.5353,,,,21.4183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.404000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7115,,
1990-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6479,,,,,,,,,,,,,,,,,,12.5641,13.6998,,,,,,,,,,,,,,,,,,,,,,,,,,10.4077,,,,,,,,,,,,,,,,,,,,,11.7906,11.2603,,,,13.152999999999999,7.1386,,,,,,,,,,,,17.6514,,,,,,,12.3894,,,,,,,4.6416,,,16.3418,,,,6.6023,,,9.7519,18.7005,,,,21.8481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3376,,
1990-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2746,,,,,,,,,,,,,,,,,,13.2966,14.9275,,,,,,,,,,,,,,,,,,,,,,,,,,11.1411,,,,,,,,,,,,,,,,,,,,,13.0626,11.7769,,,,14.0236,7.1386,,,,14.6745,,,,,,,,17.8385,,,,,,,13.4956,,,,,,,5.0805,,,17.991,,,,6.9848,,,10.0382,21.0948,,,,25.8596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4594,,
1990-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0342,,,,,,,,,12.4638,,,,,,,,,13.5417,14.8239,,,,,,,,,,,,15.0446,,,,,,,,,,,,,,10.694,,,,,,,,,,,,,,,,,,,,,12.8669,10.3306,,,,14.2102,6.5438,,,,16.358,,,,,,,,20.8654,,,,,,,14.0487,,,,,,,5.0273,,,17.254,,,,7.0941,,,9.2557,21.1851,,,,23.7936,,,,,,,,,,,,,,,25.1068,,,,,,,,,,,,,,,,,,,15.6131,,,,,,,,,,,,,19.4064,,,,,,,17.1482,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4435,,
1990-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7774,,,,,,,,,12.2742,,,,,,,,,13.9706,13.7676,,,,,,,,,,,,15.6696,,,1702.7851,,,,,,,,,,,11.5273,,,,,,,,,,,,,,,,,,,,,11.7476,10.9797,,,,13.9925,8.2203,,,,16.7903,,,,,,,,18.3546,,,,,,,10.3604,,,,,,,4.6726,,,16.373,,,,7.861000000000001,,,8.9286,22.0841,,,,24.3298,,,,,,,,,,,,,,,25.8013,,,,,,,,,,,,,,,,,,,15.4088,,,,,,,,,,,,,19.3229,,,,,,,17.7764,,,,10.3521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7339,,
1990-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.524,,,,,,,,,9.6677,,,,,,,,,12.6269,12.1127,,,,,,,,,,,,13.3929,,,1611.066,,,,,,,,,,,9.9996,,,,,,,,,,,,,,,,,,,,,9.9515,8.7838,,,,12.5622,6.3707,,,,15.1638,,,,,,,,15.7573,,,,,,,9.4595,,,,,,,3.7787,,,14.9596,,,,6.6409,,,7.3952,20.5206,,,,22.6542,,,,,,,,,,,,,,,23.0769,,,,,,,,,,,,,,,,,,,13.8147,,9.367,,,,,,,,,,,17.1511,,,,,,,15.4703,,,,7.6056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.129,,
1990-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,29.4753,,12.5377,,,,,14.0792,,,,8.2631,27.3585,,,,,,,,12.1827,13.9901,,,,,,,,,,,,12.5463,,103.3144,1455.5423,,,,,,43.0233,,,,,9.4093,,,,,,,,,,,11.7273,,,,,,,,,8.0247,9.2233,8.1081,,,,11.4739,5.7542,,,,14.2052,,,,,,6.4263,,11.6015,,,19.4712,,,,8.8964,,,,,,,3.6297,,,14.6724,,,5.7733,6.2881,,,6.4247,18.9485,,,,20.4134,,,,,,,,,,,,127.2059,,,18.2895,,12.622,,,,,,,,,,0.4796,,,,3.3543,,,16.1724,,11.2584,,,,,,,,,,,16.3068,,,,,,,15.3465,,,,6.827999999999999,8.0655,,,,,,,,,,,,,,,,,,,,,,,14.3519,,,,,133.9286,,,,,,,,,,,,,,,,,21.1848,,,7.7558,,15.8065,,
1990-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,30.7099,,13.4789,,,,,14.4004,,,,7.6699,25.0,,,,,,,,10.6599,13.4934,,,,,,,,,,,,12.1296,,101.8098,225.5946,,,,,,39.6076,,,,,9.201,7.3801,,,,,,,,,,12.2273,,,,,,,,,7.0988,9.5574,8.3974,,,,10.6654,9.7958,37.3047,,,14.4884,,,,,,6.7819,,11.6015,,,19.2308,,,,8.4524,,,,,,,3.0104,,,14.5517,,,5.0583,6.7217,,,6.8473,19.2855,,,,23.1266,,,,,,,,,,,,127.2059,,,20.614,,12.9289,,,,,,,,,,0.3005,,,,4.1509,,,16.9856,,10.8081,,,,,,,,,,,17.5934,,,,,,,16.151,,,,6.9003,8.1548,,,,,,,,,,,,,,,,,,,,,,,13.8117,,,,,114.2857,,,,,,,,,,,,,,,,,22.9163,,,8.1064,,15.8065,,
