Date,0033A,0141A,3ACKH,3BHMSQ,3PNAA.,4622B,9975B,AA.3,AAL,ABI.3,ABT,ACV.1,ACY.1,AEP,AHM.1,AL.1,AMP.2,AMT.1,AMX.2,AN.2,ANV.1,AR.2,ARC.3,AS.,AVATQ,AVP,AXP,BA,BAX,BC,BCR,BDK,BDX,BEAM,BFI.,BFO.2,BGG,BHI,BMY,BNL.1,BNSSA,BRK3,BWY.1,C.3,C2,CAL,CAT,CBE,CBS.1,CBS.2,CCB.2,CCK,CEG,CEM.2,CHA.3,CI,CKL,CL,CLX,CMI,COP,CPB,CR,CSR.1,CSX,CUE.1,CVS,CVX,D,D2,DAL,DAN,DD,DE,DEC.1,DI.,DOW2,DTE,DWDP,ECH.1,ED,EFU.1,EIX,EMR,ENRNQ,ETN,ETR,EXC,F,FBNIQ,FBO,FE,FJCC,FL,FLTWQ,FMC,FWLT,G.1,GAPTQ,GCO,GD,GE,GEB.1,GIS,GLW,GM,GP.1,GPC,GQ.1,GR,GRA,GT,GTE.1,GWF.,GWOW,HAL,HBC1,HBJ,HDLM,HIA.1,HLT,HM,HON,HON.Z,HPC,HPQ,HST,HSY,IBM,IFF,IK,INCLF,IP,IR,ITT,JCP,JNJ,K,KHC,KMB,KO,KODK,KR,KRI,LCE,LLX.,LLY,LPX,MAY.2,MCA.1,MCD,MD.1,MDP,MDR,MEA.1,MKG,ML.3,MMM,MO,MOB.2,MRK,MROX.CM,MSI,MWV,MYG.1,MZIAQ,NAV,NC,NCR,NEM,NI2,NL,NMK,NSC,OAT.,OC,OKE,OMX,PAS,PBI,PCG,PCH,PD.1,PEG,PEL.1,PEP,PFE,PG,PGL.1,PHA.1,PPG,PRDCQ,PZSM.CM,RACM.CM,RAD,RDPL,RLM.1,ROK,RSHCQ,RTN,RYI,S.1,SFX.2,SGP,SHLDQ,SHW,SKY.1,SLB,SMI.1,SNT.1,SO,SPGI,SPP.3,SPXC,SQD.1,SRE,SUN.1,T.2,TEK.1,TGNA,TKA.,TKR,TMC,TNB,TRW.1,TWX.1,TX.2,TXN,TXU2,UAL,UCC.2,UCL,UCM.2,UH,UIS,UN,UNP,USG,UTX,VAT,VO.3,WHR,WINN,WLA,WMB,WWY,WY,WYE,XEL,XOM,XRX,ZE
1990-01-31,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,#N/A Invalid Security,,#N/A Invalid Security,#N/A Invalid Security,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,,,,,,1.9741,,#N/A Invalid Security,#N/A Invalid Security,1.5617,2.8075,,#N/A Invalid Security,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,1.1981,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,#N/A Invalid Security,#N/A Invalid Security,,,,2.6386,,,3.0485,,#N/A Invalid Security,,#N/A Invalid Security,,,,#N/A Invalid Security,,,1.5846,1.7571,#N/A Invalid Security,,#N/A Invalid Security,,,#N/A Invalid Security,,#N/A Invalid Security,,2.7057,,,,,,,,,,1.7952,1.2277,,,#N/A Invalid Security,1.849,0.9620000000000001,,,#N/A Invalid Security,5.7256,,,#N/A Invalid Security,,#N/A Invalid Security,,,0.9707,#N/A Invalid Security,#N/A Invalid Security,,,#N/A Invalid Security,,2.9524,#N/A Invalid Security,,,,#N/A Invalid Security,,0.6691,,,,,,,,,,1.8857,,,,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security,,#N/A Invalid Security,1.5504,0.7817,#N/A Invalid Security,1.5436,#N/A Invalid Security,,,#N/A Invalid Security,,#N/A Invalid Security,,,#N/A Invalid Security,,1.5685,,,,#N/A Invalid Security,,,,3.8046,,1.0493,,,,,,#N/A Invalid Security,,#N/A Invalid Security,,,3.5913,#N/A Invalid Security,#N/A Invalid Security,,,#N/A Invalid Security,#N/A Invalid Security,1.9102,,#N/A Invalid Security,,1.7024,,,#N/A Invalid Security,#N/A Invalid Security,,,,#N/A Invalid Security,,#N/A Invalid Security,#N/A Invalid Security,,,#N/A Invalid Security,,#N/A Invalid Security,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,#N/A Invalid Security,,#N/A Invalid Security,,#N/A Invalid Security,,,,,,,1.6025,#N/A Invalid Security,,,,,,,,,,,
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0517,,,,1.5684,3.0452,,,,,,,,1.2766,,,,,,,,,,,,,2.6131,,,3.0325,,,,,,,,,,,1.6421,1.8874,,,,,,,,,,2.741,,,,,,,,,,1.8535,1.2616,,,,1.7184,0.8488,,,,5.5801,,,,,,,,0.9101,,,,,,,2.8048,,,,,,,0.6485,,,,,,,,,,1.8575,,,,,,,,,,,,,,,,,1.5134,0.8415,,1.5503,,,,,,,,,,,1.4167,,,,,,,,3.5098,,1.0136,,,,,,,,,,,3.5843,,,,,,,1.9561,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8811,,,,,,,,,,,,
1990-03-30,,,,,,,,,,,2.3602,,,1.3359999999999999,,,,,,,,,,0.9536,,9.5625,1.7876,2.5994,0.9861,1.8326,2.6645,1.4843,2.1668,,,,1.5221,2.7761,5.1267,,0.7908,,,,,1.2702,1.358,1.7134,,,,1.9409999999999998,1.2354,,,,1.5807,5.551,2.6943,1.1777,2.0734,3.2885,2.4944,,1.0070000000000001,,2.6554,1.6932,1.2955,,,,1.5827,1.9475,,,,1.5172,,,1.3459999999999999,,1.5296,2.7339,1.6765,1.4209,1.0067,,0.606,,1.1205,,3.0905,1.9623,1.3159,,1.7538,,1.8539,0.9997,0.6969,2.6669,,6.3835,2.1288,,,2.9476,,0.8758,,0.9673,,,0.9379,2.1635,,,2.7310000000000003,,,2.1831,1.4782,,0.8577,0.6879,,2.5027,1.5767,2.9692,,2.0563,1.0228,1.5978,,1.9315,4.3616,4.6196,,2.3233,8.177,,,2.9863,,2.8035,4.3811,1.3841,,,3.3973,,1.5135,0.8676,,1.6269999999999998,,3.0921,0.8568,,7.3759,,,,,2.0137,1.6697,0.1126,,,,5.5377,0.9041,1.2777,3.5094,,1.0008,1.126,0.7955,2.4373,1.2542,1.1485,,1.3243,,3.8355,2.1112,3.6759,,,1.9793,13.9809,,,1.7966,,,,1.5535,1.6739,,,,4.4367,,2.2789,,3.7760000000000002,,,0.7419,2.9588,,0.442,,,,,,1.6443,,0.6143,2.3128,2.7028,,,,1.5119,,,,3.1958,,0.8924,0.9756,,1.2334,,1.4393,1.7418,,1.484,,6.0179,0.9789,5.3561,1.26,7.2731,1.5025,1.886,0.7144,
1990-04-30,,,,,,,,,,,2.387,,,1.281,,,,,,,,,,0.7833,,10.1208,1.8831,2.5269999999999997,0.8438,1.7725,2.7914,1.204,2.122,,,,1.5657,2.5995,5.4035,,0.7711,,,,,1.2637,1.3636,1.6038,,,,2.0625,1.1733,,,,1.3831,5.2595,2.5842,1.1745,1.9837,3.2489999999999997,2.455,,0.9625,,2.6064,1.6525,1.212,,,,1.5363,1.9278,,,,1.4869999999999999,,,1.2295,,1.4731,2.6396,1.6179,1.3925,0.9279,,0.5659,,0.9587,,3.2708,1.8624,1.4326,,1.6698,,1.8495,0.9427,0.6458,2.6565,,6.2966,2.1231,,,3.0843,,0.8836,,0.9572,,,0.8928,2.0383,,,2.0811,,,1.986,1.4032,,0.8455,0.6311,,2.5421,1.6194,2.8539999999999996,,1.9382,1.0051,1.5253,,1.777,4.4004,4.6385,,2.3233,8.3411,,,2.7605,,2.8118,4.4828,1.2892,,,3.2368,,1.3597,0.8719,,1.7280000000000002,,3.0161,0.9081,,7.7739,,,,,1.9997,1.5103,0.1139,,,,5.1584,0.8444,1.2133,3.6783,,0.8725,1.0087,0.7955,2.4503,1.2184,1.0577,,1.2306,,4.0575,1.9762,3.8318,,,2.0719,12.8792,,,1.9512,,,,1.4653,1.6251,,,,4.4711,,2.2547,,3.6052,,,0.6889,2.9238,,0.4483,,,,,,1.5301,,0.6219,2.0377,2.7028,,,,1.4180000000000001,,,,2.8323,,0.9915,0.935,,1.1569,,1.3827,1.3954,,1.3629,,6.0395,0.9106,5.6394,1.193,6.8945,1.3837,1.8502,0.6357,
1990-05-31,,,,,,,,,,,2.6775,,,1.2755,,,,,,,,,,0.7947,,9.8417,2.0306,2.9934,0.9556,1.6673,2.8548,1.2871,2.4086,,,,1.6655,2.9781,5.8969,,0.8502,,,,,1.3926,1.4858,1.7582,,,,2.119,1.194,,,,1.4588,6.0292,2.8808,1.2724,2.1432,3.4491,2.7438,,0.9996,,2.7816,1.7559,1.2628,,,,1.6445,1.9021,,,,1.6077,,,1.2101,,1.5655,2.8538,1.7664,1.5504,0.9703,,0.5916,,1.0126,,3.3738,2.0633,1.4983,,2.015,,1.972,0.9427,0.6597,2.8589,,6.6845,2.2654,,,3.2307,,0.9177,,0.9673,,,0.9529,2.3542,,,2.2669,,,2.3499,1.4582,,0.9035,0.6908,,2.7589,1.7828,3.26,,2.1743,1.0633,1.6956,,1.8292,4.9638,4.9313,,2.5435,9.8726,,,3.0154,,2.986,5.3047,1.4118,,,3.7049,,1.4642,1.0665,,1.7569,,3.1396,0.9108,,8.7821,,,,,2.1256,1.6613,0.1341,,,,5.4998,0.9467,1.3301,3.7909,,0.9063,1.0783,0.8528,2.7110000000000003,1.3115,1.1869,,1.3368,,4.5245,2.294,4.4761,,,2.3034,12.8792,,,1.9954,,,,1.7359,1.6381,,,,5.2139999999999995,,2.4319,,4.1985,,,0.7065,3.0637,,0.4799,,,,,,1.7065,,0.7255,2.287,2.9768,,,,1.7517,,,,2.9576,,0.8924,0.9431,,1.21,,1.4738,1.7276,,1.4416,,6.9946,0.9714,6.1655,1.3330000000000002,7.6245,1.4818,1.9575,0.6084,
1990-06-29,,,,,,,,,,,2.9134,,,1.3225,,,,,,,,,,0.7545,,8.8662,1.9041,3.0344,0.9643,1.5072,2.5043,1.2749,2.3987,,,,1.6275,2.6512,6.0314,,0.8073,,,,,1.4183,1.181,1.6616,,,,2.0118,1.1774,,,,1.2541,5.707000000000001,2.8082,1.2806,1.9757,3.6652,2.5929,,0.9901,,2.8579,1.7177,1.2856,,,,1.5506,1.8828,,,,1.5498,,,1.2345,,1.5392,2.7127,1.7753,1.672,0.9390000000000001,,0.5447,,0.9382,,3.0648,2.0324,1.3143,8.8344,1.9392,,1.9123,0.8642,0.6693,2.8148,,7.4514,1.9745,,,3.0278,,0.8584,,0.8199,,,0.9768,2.2628,,,2.3598,,,2.1312,1.4545,,0.815,0.6836,,2.8435,1.7017,3.1969,,1.9748,1.0049,1.6206,,1.6866,4.9619,4.6489,,2.5583,8.9672,,,2.9013,,2.8418,5.8143,1.1812,,,3.5759,,1.7819999999999998,1.0821,,1.636,,3.2124,0.9472,,8.7035,,,,,2.2678,1.6613,0.1207,,,,4.3284,0.9516,1.3688,3.4099,,0.8894,1.0027,0.8357,2.4854,1.3507,1.1035,,1.2959,,4.4059,2.2667,4.6289,,,2.1251,11.5852,,,1.9659,,,,1.6299,1.5563,,,,4.9786,,2.4323,,4.0166,,,0.7092,3.0957,,0.5254,,,,,,1.5261,,0.621,2.1235,2.6682,,,,1.6647,,,,2.5795,,0.968,0.899,,1.1686,,1.3846,1.6612,,1.3454,,7.0665,0.9179999999999999,5.5331,1.2268,7.2062,1.4827,1.9152,0.6011,
1990-07-31,,,,,,,,,,,3.0911,,,1.3281,,,,,,,,,,0.742,,8.8059,1.8035,2.9955,1.0296,1.4037,2.3801,1.285,2.4287,,,,1.6028,3.0647,6.186,,0.7443,,,,,1.4632,1.0969,1.6763,,,,1.9953,1.1876,,,,1.1975,5.8426,2.9249,1.2164,2.2155,3.9032,2.6305,,1.001,,2.8784,1.9374,1.3073,,,,1.6715,1.8167,,,,1.7055,,,1.3133,,1.5546,2.6879,1.7362,1.6055,0.9213,,0.5167,,0.9555,,2.4183,1.8352,1.264,10.0726,1.8758,,1.883,0.7681,0.5595,2.9113,,7.6483,1.9745,,,2.7993,,0.871,,0.7213,,,0.8340000000000001,2.5802,,,1.693,,,2.2626,1.3358,,0.8119,0.6084,,2.9189999999999996,1.6148,3.37,,2.1559,1.1136,1.4826,,1.6346,5.1725,4.8702,,2.7458,9.1693,,,2.7164,,2.9992,5.8231,1.0966,,,3.1604,,1.651,1.1813,,1.6813,,3.3514,0.9752,,8.9418,,,,,2.1125,1.5025,0.1389,,,,3.9564,0.9684,1.3928,3.3653,,0.9487,0.8966,0.7517,2.151,1.3217,1.1239,,1.2771,,4.3704,2.6776,4.6089,,,2.3631,10.3019,,,2.0379,,,,1.6873,1.4565,,,,5.1498,,2.3561,,4.5667,,,0.7197,3.0406,,0.5097,,,,,,1.4463,,0.5987,1.97,2.5159,,,,1.3444,,,,2.948,,0.968,0.7548,,1.2477,,1.433,1.3732,,1.2975,,7.3212,0.8798,5.5706,1.1607,6.966,1.4674,2.0752,0.585,
1990-08-31,,,,,,,,,,,2.8424,,,1.178,,,,,,,,,,0.6665,,7.087000000000001,1.4939,2.5027,0.9492,1.0934,2.2766,1.0017,2.2491,,,,1.2624,2.9674,5.7935,,0.6244,,,,,1.2791,0.965,1.4655,,,,1.9125,1.0602,,,,0.9021,5.4670000000000005,2.4999,0.9414,2.1771,3.693,2.1294,,0.8736,,2.2849,1.8519999999999999,1.2132,,,,1.45,1.4172,,,,1.6091,,,1.1426,,1.452,2.2661,1.6111,1.3596,0.8681,,0.4342,,0.8001,,1.8197,1.5546,1.0112,9.4702,1.4952,,1.6905,0.5953,0.5203,2.5201,,6.4563,1.794,,,2.7326,,0.7296,,0.6192,,,0.6913,2.492,,,1.5458,,,2.3648,1.2269,,0.7142,0.49200000000000005,,2.8718,1.4754,3.0411,,1.949,0.9407,1.2243,,1.3539,4.8063,4.4629,,2.6431,8.5378,,,2.3751,,3.1235,5.2547,0.9388,,,2.8079,,1.3965,1.0009,,1.5038,,2.9203,0.9192,,8.1893,,,,,1.7552,1.2521,0.0911,,,,3.0434,0.8589,1.2731,3.0172,,0.9095,0.8307,0.6449,1.905,1.2127,0.9269,,1.1895,,4.263999999999999,2.5097,4.0909,,,2.0311,8.5908,,,1.7703,,,,1.2397,1.5127,,,,4.8864,,2.013,,4.4706,,,0.66,2.6967,,0.4352,,,,,,1.3665,,0.527,1.7653,2.1869,,,,1.1658,,,,3.0431,,0.6453,0.5767,,1.1915,,1.182,1.0747,,1.1062,,6.6776,0.7803,4.5566,0.9863,6.314,1.2262,2.0002,0.5273,
1990-09-28,,,,,,,,,,,2.7891,,,1.1729,,,,,,,,,,0.6286,,4.8056,1.2319,2.0946,0.9337,0.8075,2.178,0.7391,2.0973,,,,1.2473,2.7988,5.3754,,0.5658,,,,,1.2341,0.9347,1.3415,,,,1.7648,1.0565,,,,0.7788,4.4776,2.2017,0.794,1.8763,3.3365,2.0159,,0.7648,,2.051,1.7881,1.2154,,,,1.3459999999999999,1.1799,,,,1.5404,,,1.0664,,1.4393,2.4089,1.7874,1.1618,0.8696,,0.3855,,0.6343,,1.3425,1.4409,0.9334,3.7409,1.5729,,1.5045,0.5377,0.4942,2.1854,,6.0481,1.715,,,2.6945,,0.6171,,0.4721,,,0.6065,2.3762,,,1.4538,,,2.5275,1.0794,,0.6664,0.4726,,2.6743,1.499,2.8086,,1.7819999999999998,0.8391,1.1075,,1.1762,4.4435,4.126,,2.3379,7.2545,,,2.3222,,3.3536,5.5079,0.7855,,,2.4436,,1.0954,0.9976,,1.4068,,2.765,0.8540000000000001,,7.4973,,,,,1.5688,1.0518,0.07,,24.4093,,199.5458,0.7805,1.1568,3.1311,,1.0931,0.7296,0.6595,1.4295,1.2041,0.7804,,1.1464,,3.6108,2.327,3.5988,,,1.886,7.8824,,,1.7561,,,,1.146,1.6174,,,,4.3691,,1.9376,,4.0953,,,0.6652,2.301,,0.2877,,,,,,1.2474,,0.5247,1.5787,2.0469999999999997,,,,1.1994,,,,2.8515,,0.293,0.3947,,1.0803,,0.9943,1.015,,0.9301,,5.7935,0.8220000000000001,4.2395,1.04,5.9479999999999995,1.2002,1.8957,0.4421,
1990-10-31,,,,,,,,,,,2.9227,,,1.2393,,,,,,,,,,0.526,,5.0069,1.1007,2.2519,0.9821,0.9049,2.2176,0.7491,2.1451,,,,1.1578,2.5575,5.4802,,0.5166,,,,,1.0799,0.9015,1.2796,,,,1.6275,1.1063,,,,0.6776,5.0326,2.1286,0.7238,1.849,3.6702,2.028,,0.7648,,1.8901,1.6462,1.3437,,,,1.3162,1.0122,,,,1.6771,,,1.1807,,1.5542,2.5116,1.906,1.083,0.9374,,0.3465,,0.7023,,1.1876,1.4988,0.8453,3.3936,1.3166,,1.3985,0.4996,0.4853,2.0851,,6.1687,1.7295,,,2.6756,,0.6513,,0.4269,,,0.5991,2.0698,,,1.2611,,,2.1038,0.9729,,0.6604,0.3534,,2.5540000000000003,1.4866,2.9502,,1.5613,0.897,0.8033,,1.1272,4.5226,4.4951,,2.5777,8.2187,,,2.1299,,3.3289,5.1902,0.6215,,,2.3731,,1.0954,0.953,,1.5856,,2.8322,0.8894,,7.5711,,,,,0.9354,0.9321,0.0438,,21.7464,,246.938,0.8298,1.141,3.2885,,1.0494,0.6227,0.6169,1.6624,1.3529,0.627,,1.3005,,3.7678,2.397,3.8827,,,1.6327,5.5244,,,1.8481,,,,1.1581,1.6353,,,,4.4324,,1.9014,,3.7505,,,0.7282,2.4579,,0.228,,,,,,1.2575,,0.4124,1.5193,2.1390000000000002,,,,1.0234,,,,2.7135,,0.3996,0.1776,,1.0173,,1.0553,0.8629,,0.8435,,6.1292,0.8892,4.7223,0.9425,6.2169,1.2998,1.8957,0.3808,
