Date,pe,pe,pb,pb,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
1990/4/30,0.829765975,0.202039976,0.075075563,0.491521482,0.150087965,-0.260893192,0.139865278,0.198291448,,,-0.290959017,0.456693167,0.045102965,-0.572105015,,
1990/5/31,0.518322664,0.828794522,0.553499996,0.555233114,0.489023525,0.906889755,0.6498957,0.465023546,,,-0.083757919,-0.817856705,-0.319711477,0.597657002,,
1990/6/29,0.252788766,0.019706039,0.482541435,0.057208839,-0.148430237,-0.161824923,0.497803833,0.179958109,,,-0.784875333,-0.277826258,0.228733484,0.358111677,,
1990/7/31,-0.253444131,-0.008034596,-0.40461215,0.223339145,-0.252785267,-0.498719356,-0.10709677,0.351966229,0.167925535,0.270462733,0.468669666,-0.036453024,-0.859211121,0.116558304,0.179811615,-0.012195102
1990/8/31,-0.18201099,0.579703413,-0.139006454,0.739577866,0.116623134,0.446178692,-0.190713142,0.150873639,0.469837242,0.485132897,-0.573552948,0.069689007,0.049773116,-0.006190893,0.42556174,0.379351087
1990/9/28,0.311550052,-0.551024737,0.375791529,-0.098243233,0.114970164,0.440630814,-0.016146196,0.216921952,0.156989174,-0.112985126,0.216253764,0.282551002,-0.066322826,-0.245774183,0.509251902,-0.235101261
1990/10/31,0.192341017,0.194750249,0.35714976,0.223851905,0.383226507,0.453349721,0.348640723,-0.004789811,0.093376526,0.136758826,-0.54853159,-0.02980538,0.347699686,-0.339028513,-0.199207461,-0.128359721
1990/11/30,-0.125921909,-0.020285612,-0.188679028,0.027529042,0.212632599,-0.403188779,-0.307265144,0.032754446,-0.388623228,0.268608955,-0.558180924,-0.210436046,0.302458218,0.417109757,-0.127854773,0.302196883
1990/12/31,0.286858446,-0.382774135,-0.509888018,-0.139581851,-0.334433311,-0.247250767,0.14495159,-0.144581749,0.322997553,-0.112809786,-0.064933971,-0.078906991,-0.334743847,0.214835992,0.254299951,0.074182398
1991/1/31,-0.301688804,0.282663318,-0.30249878,-0.02578829,-0.565742173,-0.260517483,-0.298307246,-0.083675157,-0.127080034,0.448482322,0.140110846,-0.164056803,-0.158699993,0.003259077,0.030687022,0.239140321
1991/2/28,0.089465683,-0.161890542,0.187882092,0.077764057,-0.049036051,-0.04637633,0.113230278,0.161663944,0.213563679,0.121906821,0.079742,0.060532039,0.233859746,-0.229910152,0.202963234,0.024294696
1991/3/29,-0.108600267,-0.396391393,-0.045783559,0.184034514,0.167356602,0.490495124,0.087924194,-0.141942991,0.117209372,0.237903448,-0.035201577,-0.037696858,0.009245335,0.032562526,0.023113759,0.406872754
1991/4/30,0.074232401,-0.162839623,-0.007015541,0.065505384,-0.102943017,-0.202896996,-0.37937164,0.149140886,0.083890478,0.206562696,-0.409436512,0.262292412,-0.004727247,-0.277052146,-0.022182332,-0.011674988
1991/5/31,0.398420214,-0.022872837,-0.116550174,-0.042504786,0.171095579,-0.012359707,0.181318771,0.075818,-0.056934395,0.296227978,0.304835083,-0.151695035,-0.059395673,0.046620961,-0.041559692,0.065285789
1991/6/28,-0.222535353,0.143016156,0.14102725,-0.114352475,-0.15825017,0.055215193,0.108811262,-0.412162424,0.232360871,-0.014158581,-0.191316478,-0.038804131,-0.006273465,-0.095753235,-0.049035016,0.130404009
1991/7/31,0.180499305,-0.061521004,-0.009815131,0.002984038,0.06088631,-0.060002104,0.006512346,-0.044991621,-0.046956653,0.152789793,0.028619488,-0.06421975,-0.090384593,0.094892936,0.121852335,-0.005732367
1991/8/30,-0.001918112,-0.063370415,-0.049464183,-0.084335865,0.145313534,0.158253872,0.310495687,-0.05892472,-0.212906644,0.297982273,-0.133838714,-0.049440199,-0.063359866,-0.237611031,0.029675158,0.102701926
1991/9/30,-0.308973254,0.03399872,0.024929614,0.245117572,0.205062676,-0.064374635,-0.065960463,-0.045693805,0.242089186,-0.027955924,-0.017121146,0.042121305,-0.303477359,0.106171757,-0.146919256,-0.209145394
1991/10/31,-0.020682636,0.23166094,-0.153893158,0.066567689,0.229366384,0.159055597,-0.01233274,0.275853762,0.117651276,-0.020275857,0.163191323,-0.218804696,-0.369467473,-0.032376518,0.182391844,-0.065290521
1991/11/29,-0.32336416,0.017075,-0.140945316,0.120335652,0.017080733,0.053795665,-0.182484506,-0.091050012,0.147825183,0.180468942,-0.184872222,-0.030911049,-0.130458937,-0.03302323,0.160477438,0.086862099
1991/12/31,-0.124463252,-0.140190508,-0.123695674,0.100660705,-0.100912483,0.093733566,-0.163351223,-0.185121803,-0.091117038,-0.234303959,-0.062619467,-0.007773245,0.048010571,0.014825996,0.081049422,0.139424986
1992/1/31,-0.062041828,-0.116207854,-0.121772132,-0.148773247,-0.042143164,-0.174485836,0.10570429,-0.025585397,0.060274585,0.073943043,0.235791916,-0.024574806,-0.129103868,-0.111570213,0.071722107,-0.040601453
1992/2/28,-0.060181268,-0.106728285,-0.200052614,-0.027018707,0.055264146,0.067711056,-0.064102979,0.092054408,-0.186382115,-0.012517632,-0.048691326,0.189308652,0.089859209,-0.046260649,-0.014745925,0.002846311
1992/3/31,-0.131673143,-0.088498055,-0.226048131,-0.22591416,0.203498589,-0.168226261,-0.002118147,-0.040675327,0.131201197,-0.182008591,-0.100990811,0.010533888,-0.224025602,0.039810093,-0.017151894,0.018023489
1992/4/30,0.092470529,-0.03780324,0.050479802,-0.176940323,-0.356647909,0.067422175,0.048801747,-0.032045143,-0.021067421,-0.192837034,0.082843768,0.209872493,0.070964725,-0.19613899,-0.081382019,-0.117106312
1992/5/29,0.074695738,0.258230332,-0.058403051,0.164695161,-0.47926549,-0.069942741,-0.045517345,0.070147473,0.001692639,-0.198199958,-0.205520088,-0.06957868,-0.086224347,0.102174699,-0.164833873,-0.018529712
1992/6/30,-0.206599057,-0.025200206,0.0458301,0.132522142,-0.017234668,-0.163996071,0.072516183,0.017039472,0.051461781,0.132292156,-0.150868723,0.076917802,-0.089587605,-0.041035194,-0.166571364,0.037917545
1992/7/31,0.050202084,-0.036227436,0.093173623,-0.180624922,0.067407001,-0.001512209,-0.047931873,0.140383968,-0.083058864,0.093366267,-0.031087314,-0.228727691,-0.013925309,0.08800233,-0.078506083,0.065657937
1992/8/31,0.099935797,-0.145569456,0.172292173,0.087059087,0.231339193,-0.183631055,0.18427035,0.055252449,-0.031153116,0.030834932,-0.260802716,-0.122930033,-0.033169339,-0.017125437,-0.049986024,0.13142432
1992/9/30,0.090736494,0.149071092,-0.05744329,-0.234742174,0.053218935,-0.111581043,0.023638067,0.006826362,0.019119008,-0.062675196,0.100603651,-0.15082882,-0.022928794,0.118982383,-0.112996912,-0.040600818
1992/10/30,-0.215425633,-0.140605115,-0.03464169,-0.336361146,-0.353293735,-0.041498104,-0.042363031,-0.117036464,0.09706607,-0.040694604,-0.034351738,-0.152453293,0.087071611,-0.013622516,0.104881116,0.101366843
1992/11/30,-0.167933776,-0.037658631,-0.167386233,-0.017810588,-0.201598932,0.195883742,0.150719284,-0.060395046,0.182413952,0.223860973,0.073676745,0.00631776,-0.063711662,-0.015653187,0.168158156,0.143881449
1992/12/31,-0.309571982,-0.077671398,-0.146698268,0.063105354,0.009785053,0.089549948,-0.016730165,-0.095754878,-0.064875643,-0.251908038,-0.111742504,0.114071278,0.058891398,0.14693484,-0.095436297,-0.182253372
1993/1/29,0.038869482,-0.001105833,0.007206757,-0.121560727,0.23842805,0.039578576,0.141836493,-0.033104796,-0.041022354,-0.061921481,0.280415562,0.26987005,-0.186605763,-0.126687887,-0.019284194,0.09017541
1993/2/26,0.172357381,0.110182321,0.051118589,0.001796692,-0.266295932,0.039111289,0.118847722,-0.050271066,-0.004929261,-0.06860481,0.037726762,0.012703816,0.171553563,-0.161739186,-0.215316652,-0.077621142
