Date,pe,pe,pb,pb,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
1990/4/30,,,,,,,,,,,,,,,,
1990/5/31,,,,,,,,,,,,,,,,
1990/6/29,0.860696435,-0.142773895,0.802870211,-0.562811042,0.471582936,-0.688018825,0.039696665,-0.014317566,,,-0.502678443,0.254657229,-0.210596487,-0.007061575,,
1990/7/31,-0.058204923,-0.721563272,0.078226164,-0.546968167,-0.295756825,-0.446001805,-0.222137218,0.38812957,0.388826745,0.391198188,0.870826212,-0.301232177,-0.668992634,-0.703211381,0.331825795,0.472980264
1990/8/31,0.56292487,0.102962371,0.549884298,0.583195846,0.352788049,0.609258737,0.25845586,0.019708624,0.461942336,0.872297492,-0.245975724,-0.622327504,-0.092002112,-0.69381088,0.163907521,0.555969036
1990/9/28,-0.477585819,-0.141201182,-0.094147636,-0.512016567,0.440535749,0.311860214,0.123061043,0.164299597,0.315552776,-0.298035187,0.559666077,0.356907656,-0.555770941,-0.481948521,0.61928551,-0.02011907
1990/10/31,0.22768269,0.097039599,0.158750571,0.145769385,0.309026356,0.517076475,0.160779942,-0.475332101,0.123348699,0.14411418,-0.469998292,-0.180786066,0.142503705,-0.24992756,-0.260809401,0.112947333
1990/11/30,-0.085656825,0.035874536,0.209414208,0.36273585,-0.349755056,-0.310034135,-0.031659892,-0.226094691,-0.154943977,0.42318608,0.08891385,-0.302640343,0.484905963,0.303207172,-0.495603957,0.004962631
1990/12/31,0.215941476,-0.102755361,0.098753401,-0.124742527,-0.168150522,-0.354780995,0.263031872,-0.406104793,-0.003821849,-0.085008145,-0.045966926,-0.119432297,-0.177778047,0.028230472,-0.106525697,0.236929575
1991/1/31,-0.144774671,-0.097334122,0.049708853,-0.196119647,-0.424613243,-0.104444013,0.036062255,-0.095463978,-0.28555126,-0.073045231,0.242186576,0.348572264,0.04327412,-0.325030943,-0.246068723,0.146645582
1991/2/28,-0.032221837,0.28761789,-0.011242663,0.15490684,0.238916302,-0.193506594,-0.165965055,0.135371949,0.00140321,0.221940614,-0.048551365,0.040270014,-0.108359142,-0.04128771,-0.024464029,0.06344865
1991/3/29,-0.149269244,-0.314137609,0.002171543,0.153062885,0.375015994,0.472570632,-0.207438416,0.075817862,0.346629839,0.157288047,0.080325565,-0.040890575,-0.158298226,0.04577772,0.427504345,-0.191362418
1991/4/30,-0.043467807,-0.054190818,-0.05957652,0.068541821,-0.138649932,0.150777559,0.019157012,-0.434632241,-0.196453528,0.177157077,0.076660923,-0.398553206,-0.023618193,-0.181239442,-0.284035127,0.035935358
1991/5/31,-0.02535895,0.250964041,-0.081969953,-0.107518425,0.025205804,0.216373664,-0.025416805,0.385405645,-0.181091315,0.181580103,-0.055381646,0.242097487,0.042159506,-0.069802027,-0.082794492,-0.095790424
1991/6/28,-0.170490045,-0.205072822,-0.067447602,0.192356233,-0.113256349,0.012259369,-0.242540652,-0.305757526,-0.068966108,0.15384306,-0.048026838,-0.23885416,-0.055178542,-0.150587231,0.039595379,0.178160078
1991/7/31,-0.091024677,0.238000149,-0.04280054,0.120076685,0.011834637,-0.043268153,-0.156587367,0.005010754,-0.004628108,0.038278996,0.024981825,0.225609622,0.11821389,-0.119351584,-0.095491962,-0.032852216
1991/8/30,-0.177079397,0.125318478,-0.089847261,0.180525736,0.229982011,0.231168302,0.352573983,-0.055063199,-0.016864782,0.0287558,-0.038366716,-0.139131467,-0.165347716,-0.070184792,0.023049274,-0.00862294
1991/9/30,-0.282121411,-0.272169349,0.09166768,0.280206583,0.302332703,-1.82E-05,-0.010739458,-0.210304824,0.072865146,-0.088130284,-0.06954704,0.061364479,-0.132306151,-0.009030442,-0.038725908,-0.253098954
1991/10/31,0.042403937,-0.073840171,-0.123214425,-0.123529041,0.050642375,0.029944724,0.122415055,-0.149012089,0.098769793,-0.167560506,0.127158538,-0.090435323,-0.284553704,0.077019871,0.088855231,-0.103075146
1991/11/29,-0.267779322,-0.066119579,0.22647294,-0.092320891,0.033493617,0.150597355,-0.243659325,-0.280231771,0.227784277,0.127560842,-0.03601063,-0.20760743,-0.052213773,-0.009172487,0.148025932,0.069187224
1991/12/31,-0.187883341,-0.15030572,-0.036095509,-0.032395756,-0.002461306,0.111172463,-0.195229816,-0.055689311,-0.286847036,-0.089576832,0.028794039,-0.039642661,-0.003251727,0.099725569,0.125494046,-0.108638338
