Date,pe,pe,pb,pb,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
1990/4/30,,,,,,,,,,,,,,,,
1990/5/31,,,,,,,,,,,,,,,,
1990/6/30,0.608343635,-0.122496168,0.507595915,-0.14563444,0.199523758,-0.209278059,0.573872134,0.145735622,,,0.278592514,-0.09220954,-0.464754435,0.410946198,,
1990/7/31,-0.274347248,0.078848961,-0.194989711,0.501613597,0.263436952,-0.523341563,0.230126965,0.028925851,0.741604145,0.5039811,-0.015321194,-0.30021474,-0.400850361,0.097139148,0.538273244,0.275367461
1990/8/31,0.393489702,0.694152377,0.457406819,0.728937983,0.769051668,0.191098848,0.004540767,0.416277672,0.334038001,0.466023137,0.105383723,-0.220773644,-0.108814823,0.236218056,0.112823604,0.045656994
1990/9/30,0.451627724,-0.621976167,0.560589468,-0.198995415,0.566662762,0.363458492,0.202704342,0.078161262,0.748832605,0.362502728,0.17637267,0.044421955,0.002957577,-0.257991995,0.684166418,0.284463956
1990/10/31,0.400712858,0.021830476,0.008449451,0.126656515,0.170973725,0.552198718,-0.090755986,-0.111353616,-0.087820945,0.167069697,0.263648085,-0.239943723,-0.021307246,-0.220930215,-0.234833978,0.06965501
1990/11/30,-0.232882912,0.102277833,0.007407248,0.133579914,-0.162699769,-0.621379488,-0.106956444,0.004911183,-0.215002932,0.2265823,-0.080854564,0.222851203,0.073447405,0.378303984,-0.157497081,-0.060900015
1990/12/31,-0.02473099,-0.500060374,-0.110592493,-0.28700286,-0.02861407,-0.607465169,0.159053262,-0.051530188,-0.322542984,-0.206000943,0.100175305,-0.111412019,0.097150206,0.264674767,-0.266280691,0.027422638
1991/1/31,-0.061239221,-0.125366955,-0.314087145,0.083305163,-0.53813522,0.089155236,0.172992486,-0.209057944,-0.349456179,-0.048030916,-0.12302256,0.076197903,0.128649062,-0.067447056,-0.291033586,0.115898443
1991/2/28,0.104514219,0.245343766,0.519479869,0.234970016,-0.060710035,-0.118174367,-0.326885732,0.046887826,0.177255586,0.206476149,0.09685229,0.352700393,-0.039831888,-0.217775938,0.244626385,0.045662688
1991/3/31,-0.236239834,0.165016523,0.216314062,-0.056531316,0.276850049,0.306335011,0.072543799,0.008098923,-0.109204274,-0.408134042,0.126671055,0.155793724,-0.090585363,-0.039314727,0.019416622,0.50510376
1991/4/30,-0.010654206,-0.163674197,0.017249527,-0.014245841,0.100793501,-0.200451441,0.244949019,-0.096293163,0.006062192,0.1145867,0.224638588,0.014801898,-0.086597679,-0.183776444,-0.091994813,-0.052535974
1991/5/31,0.353603601,0.235298889,-0.098090449,0.012691465,0.172520744,-0.013274177,-0.174923546,0.019340978,-0.180124786,-0.013593731,-0.080918789,-0.159622676,0.065578103,-0.027688003,0.094916454,-0.028647957
1991/6/30,-0.166657212,0.00364529,-0.054852426,0.116184805,-0.264917744,0.162469684,-0.307422725,-0.051269424,0.154433691,-0.103861738,0.013836439,0.135376479,-0.165678658,-0.151731282,-0.055041656,0.151850159
1991/7/31,0.127452478,0.286597855,0.213991549,0.213758088,-0.01043821,0.049289819,-0.152373397,-0.008797305,0.038010639,-0.019437138,0.197843875,-0.145399099,-0.021381804,0.080967732,-0.057561119,-0.132138451
1991/8/31,-0.086529182,0.157819992,0.244285633,-0.023006977,0.116969195,0.249460653,-0.045835059,0.004346443,-0.09740299,-0.040257269,0.102409083,-0.070987434,-0.064198448,-0.138221396,-0.03278954,-0.056564201
1991/9/30,-0.347450941,-0.009424845,-0.236916605,0.126808603,-0.021214359,0.106331607,0.011040674,-0.084435625,0.000871902,-0.057010457,0.159887681,0.011486031,-0.113646823,-0.100534447,-0.297975512,-0.015555057
1991/10/31,-0.001258382,0.124224082,-0.207035641,0.111466107,0.015720451,0.218220269,0.162787202,-0.247456455,0.225655061,-0.002928524,0.053614854,0.095278852,-0.221957835,-0.176113853,0.198779181,-0.092962612
1991/11/30,-0.093343274,0.304838906,-0.208707177,0.306223194,-0.007864477,0.355265639,-0.211958394,-0.095457722,-0.014642682,-0.039728404,-0.043267994,0.070823734,-0.032130128,-0.178310787,-0.221481004,0.210684117
1991/12/31,-0.143490231,0.08338833,-0.082956795,-0.082836101,0.109699619,0.209564196,-0.09850748,-0.157092428,0.043300332,-0.468548747,0.187826269,0.005557161,-0.131973999,0.076676652,-0.106607609,0.002531461
