Date,pe,pe,pb,pb,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
1990/4/30,,,,,,,,,,,,,,,,
1990/5/31,,,,,,,,,,,,,,,,
1990/6/30,,,,,,,,,,,,,,,,
1990/7/31,,,,,,,,,,,,,,,,
1990/8/31,,,,,,,,,,,,,,,,
1990/9/30,,,,,,,,,,,,,,,,
1990/10/31,,,,,,,,,,,,,,,,
1990/11/30,,,,,,,,,,,,,,,,
1990/12/31,,,,,,,,,,,,,,,,
1991/1/31,,,,,,,,,,,,,,,,
1991/2/28,,,,,,,,,,,,,,,,
1991/3/31,,,,,,,,,,,,,,,,
1991/4/30,,,,,,,,,,,,,,,,
1991/5/31,,,,,,,,,,,,,,,,
1991/6/30,,,,,,,,,,,,,,,,
1991/7/31,,,,,,,,,,,,,,,,
1991/8/31,,,,,,,,,,,,,,,,
1991/9/30,,,,,,,,,,,,,,,,
1991/10/31,,,,,,,,,,,,,,,,
1991/11/30,,,,,,,,,,,,,,,,
1991/12/31,,,,,,,,,,,,,,,,
1992/1/31,,,,,,,,,,,,,,,,
1992/2/29,,,,,,,,,,,,,,,,
1992/3/31,,,,,,,,,,,,,,,,
1992/4/30,,,,,,,,,,,,,,,,
1992/5/31,,,,,,,,,,,,,,,,
1992/6/30,,,,,,,,,,,,,,,,
1992/7/31,,,,,,,,,,,,,,,,
1992/8/31,,,,,,,,,,,,,,,,
1992/9/30,,,,,,,,,,,,,,,,
1992/10/31,,,,,,,,,,,,,,,,
1992/11/30,,,,,,,,,,,,,,,,
1992/12/31,,,,,,,,,,,,,,,,
1993/1/31,,,,,,,,,,,,,,,,
1993/2/28,,,,,,,,,,,,,,,,
1993/3/31,,,,,,,,,,,,,,,,
1993/4/30,,,,,,,,,,,,,,,,
1993/5/31,,,,,,,,,,,,,,,,
1993/6/30,,,,,,,,,,,,,,,,
1993/7/31,,,,,,,,,,,,,,,,
1993/8/31,,,,,,,,,,,,,,,,
1993/9/30,,,,,,,,,,,,,,,,
1993/10/31,,,,,,,,,,,,,,,,
1993/11/30,,,,,,,,,,,,,,,,
1993/12/31,,,,,,,,,,,,,,,,
1994/1/31,,,,,,,,,,,,,,,,
1994/2/28,,,,,,,,,,,,,,,,
1994/3/31,,,,,,,,,,,,,,,,
1994/4/30,,,,,,,,,,,,,,,,
1994/5/31,,,,,,,,,,,,,,,,
1994/6/30,-0.961313556,-0.989681146,0.87552112,-0.946641195,0.845378936,-0.229696944,0.908783463,0.937835244,-0.856664158,-0.093244908,-0.615476662,-0.107765795,0.459839426,0.024968246,-0.106019203,0.242444497
1994/7/31,-0.538924831,0.337113553,0.978345805,0.459754353,0.992819201,-0.183760275,-0.620225408,-0.314022383,-0.992626184,0.997829047,-0.943440463,0.081147134,0.822302497,-0.957707883,-0.523377702,0.670417084
1994/8/31,0.716352339,0.48175909,0.043353372,0.361742204,0.516701966,0.463967435,0.70968352,0.363730154,0.164936181,-0.616047132,-0.266522638,-0.044288408,0.33275486,0.431495537,-0.624634544,-0.711339417
1994/9/30,0.464265683,0.04886643,-0.053322973,-0.051231687,-0.320021508,0.294993902,0.513658818,0.459521907,0.012350394,-0.770482025,-0.328312164,0.27725601,0.062250889,-0.037859587,-0.265567231,-0.285169909
1994/10/31,-0.288201715,0.531372557,0.02190087,0.299274987,0.398277154,0.204672488,-0.307307822,-0.155074458,0.463877199,-0.031093823,0.257701822,-0.438935707,-0.481009335,0.099597646,0.259337576,-0.349808141
1994/11/30,-0.162298164,0.398070636,-0.483920963,0.675967194,-0.628424909,-0.04166976,0.053318496,-0.202015558,-0.356464556,0.497427526,-0.158775646,-0.505306943,0.537141441,-0.155491475,0.070869365,-0.098763298
1994/12/31,-0.26008406,0.186581084,0.307745818,-0.04921468,0.03757066,0.554889519,-0.403042573,0.00989215,-0.211371048,-0.70111567,0.034274977,-0.118275351,-0.189704367,0.205683211,-0.353520852,-0.509640657
1995/1/31,0.288847099,0.125446106,0.422037724,0.12892865,-0.220914873,-0.59376195,0.048084805,-0.166191988,-0.365692383,0.351813744,0.206766027,0.310249536,0.053605232,-0.560352333,-0.329688268,0.015698449
1995/2/28,-0.247775286,0.086409455,-0.230534893,-0.153470677,0.155555039,0.041075824,0.081854029,0.051303165,-0.161544338,-0.276037368,0.151419721,0.10101299,-0.025926339,0.385907236,-0.325707261,-0.380998861
