Date,eps,eps,sps,sps,prof_mar,prof_mar,roic,roic,ninc,ninc,cf,cf,sg,sg,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
1990/4/30,,,0.319761893,0.0220154,0.035878916,0.392506343,,,0.878701602,-0.372726328,,,-0.737825237,-0.605063351,0.021031777,0.016973255,0.123756998,-0.040957538,,,0.006320668,-0.153622619,0.04614591,0.075545049,,
1990/5/31,,,0.105480584,-0.913836481,0.005181038,0.1341383,,,0.864734536,0.09650554,,,-0.184380544,0.56838871,0.175632604,0.068762206,-0.067225027,0.071319424,,,-0.301550646,-0.062526028,0.127524383,0.306038879,,
1990/6/29,,,0.412072705,0.663414921,0.027099724,0.260211715,,,0.644907779,-0.627669657,,,0.212392703,0.158908149,0.059800361,-0.014024418,0.017178806,-0.063429806,,,0.1277479,-0.292678853,-0.199532376,0.155463871,,
1990/7/31,0.700441688,-0.926601786,-0.855527986,-0.753500228,0.222203502,-0.051069194,-0.571122021,-0.4946415,-0.144318511,-0.138276842,0.344293422,-0.564597524,0.322887217,-0.138537378,-0.118147777,-0.124504889,-0.039948836,0.188067289,-0.123976098,0.310529852,0.079684602,-0.049325838,0.019658227,-0.191598791,0.004868712,0.320499161
1990/8/31,-0.660725705,-0.44129805,-0.214370421,-0.367301222,0.273439875,0.057828588,-0.241014004,0.345523821,0.729896109,0.300996441,0.389864074,-0.712993849,-0.487236071,0.473820798,-0.003755286,0.134554782,-0.303990007,0.164996151,-0.125026785,0.332013828,-0.197605601,-0.064604713,0.135953191,0.044175077,-0.094747273,-0.11821212
1990/9/28,0.750481489,-0.838917597,0.336363194,-0.748377068,0.153168286,0.04970803,-0.588476059,-0.762489159,-0.119988383,-0.219683261,0.275320348,-0.691619055,0.38101641,-0.426514118,0.299339568,0.239612458,-0.451534761,0.076640457,0.02344637,-0.021745321,-0.154488757,-0.045334909,0.04932767,0.131007409,0.049146362,0.576867709
1990/10/31,0.725586316,0.708650162,0.248991988,0.414449016,0.323630101,-0.134294449,0.323155476,0.176833882,0.115135547,-0.141776458,-0.169703318,0.353656833,0.025672068,-0.261850427,0.285856309,0.094094153,-0.297444749,-0.020841157,-0.171763747,-0.09101538,0.066887491,-0.085953048,-0.08109469,-0.081549723,-0.342079142,-0.359159952
1990/11/30,0.985641878,-0.668483514,0.980625435,-0.702634594,0.189695035,-0.207542149,-0.022566291,0.261647044,0.047898383,0.387141313,-0.228200637,-0.329995135,-0.036312781,0.552302108,-0.183954386,-0.450675834,0.123599039,-0.091880516,-0.418014287,0.328206387,-0.108496856,-0.158106364,0.121304813,0.235314346,-0.162013381,-0.05276693
1990/12/31,-0.57636281,0.819049659,-0.922503733,0.981980242,0.063127999,0.095319575,0.017664571,0.429097304,-0.078511894,0.14474879,0.173681614,-0.421396116,-0.057480537,0.197861401,-0.145476746,-0.051807264,-0.174751391,-0.09558197,0.239284341,-0.149192345,0.115907454,-0.172717877,-0.070882881,0.018492924,0.028820773,-0.098701867
1991/1/31,0.963918526,-0.812913059,-0.451842583,-0.289661218,-0.239275295,-0.141730436,-0.054916339,0.297531722,-0.419427805,-0.024000778,-0.072133866,-0.080414745,-0.164247863,0.163445808,-0.318798706,-0.259739223,-0.036171203,-0.072131195,-0.182558923,0.376698137,-0.081438813,-0.038457825,0.070800805,0.072600153,-0.087074837,0.049312704
1991/2/28,0.979384411,0.410938766,-0.735640324,0.084931247,-0.144049546,0.207770256,-0.125217862,-0.399744402,0.29260008,0.261223766,0.09303411,-0.027777679,0.261474223,-0.098225585,-0.308563772,-0.025654039,0.117536605,0.076586074,0.19129249,0.096785,-0.008258862,-0.047162697,-0.023780981,0.033512711,0.210891547,-0.043960827
1991/3/29,0.483365351,0.885952395,0.762337733,0.787063104,-0.100910101,-0.191883138,0.628071048,0.139996407,0.262500826,-0.152581641,-0.024713294,-0.267186522,0.030886848,-0.050584738,0.133528866,0.470033559,0.056688334,0.018941596,-0.002631933,0.28969064,0.000588217,-0.118033316,-0.020836338,0.029012351,0.20513462,0.089002354
1991/4/30,0.502130143,-0.91862399,-0.379121275,0.980446339,0.27805768,-0.224950508,-0.000137399,-0.137974885,0.273621853,0.02575015,-0.006059252,0.003153762,-0.068482085,-0.027146549,0.042867918,-0.151041195,0.197314382,0.040338323,-0.128318935,0.097340158,0.215395858,0.190830826,-0.060719137,-0.24519494,-0.370363161,0.073806753
1991/5/31,-0.434425457,0.784979826,0.448875375,0.564168831,-0.190556869,-0.079361518,-0.236869782,-0.088141448,-0.028418816,0.120506519,-0.053662482,-0.044760556,-0.119359486,-0.163639523,0.032159526,0.120854446,-0.141764591,-0.000824919,-0.001595922,0.240985588,-0.023246217,-0.023848099,-0.020725239,-0.008811974,0.228997021,0.026717311
1991/6/28,-0.377220356,0.997079456,0.503904859,-0.041783672,0.022335118,0.012235225,0.143732873,-0.084863653,-0.018958428,-0.17274451,-0.075067438,0.248012319,-0.238662421,-0.116572225,-0.010817387,0.05404538,-0.243111296,-0.009523066,0.101468732,-0.086101147,0.060784405,-0.080965068,-0.141776903,-0.136846862,-0.126208898,0.169345608
1991/7/31,0.277695752,-0.114489453,0.846582067,-0.64796498,0.200781457,0.161236984,0.158740681,0.113065462,0.128249713,0.097788368,-0.096350087,0.116075842,0.139714263,0.243490691,0.016001994,0.091687709,-0.06331613,0.17841438,-0.034102166,0.208428584,0.068903469,0.014753021,-0.172229715,0.077477047,-0.111736558,0.084906525
1991/8/30,0.651633949,0.777002284,0.991178614,0.335448179,-0.060119102,-0.067688246,0.010457911,-0.068141813,0.18125176,-0.035119049,0.025309372,0.239714638,0.292195249,-0.38264111,0.088907042,0.152696864,-0.025593046,0.257536237,-0.151655722,0.271848221,0.064331735,-0.099152005,-0.049414212,-0.102797987,-0.175863453,0.106323685
1991/9/30,0.088795898,0.836034706,0.396023154,-0.939821723,0.362695338,0.082033762,-0.045015468,0.120123735,0.068787995,0.071579161,0.109322381,0.081118354,-0.071640834,0.091654791,0.181361364,-0.101917176,-0.053368442,0.116158439,-0.089336956,-0.052323041,0.090879714,0.025058766,-0.068282537,0.144070793,-0.35366351,-0.198462143
1991/10/31,-0.282713162,-0.657552626,0.193079472,-0.72073504,0.135936571,0.013391232,0.071655428,0.087610969,0.24153666,0.005473295,0.045750107,-0.082760751,0.033927055,-0.126475633,0.227534108,0.081231923,-0.061914813,0.139684872,-0.120782277,-0.002249603,0.042520808,-0.182891469,-0.293013247,-0.051347294,-0.04787459,-0.10210021
1991/11/29,0.775595045,0.041536876,0.395613749,0.065114403,0.333662514,0.003534185,-0.058394941,0.277187815,0.270122924,0.310346646,0.030910899,0.061409857,0.0649934,0.068916474,-0.031150909,0.127678208,-0.094233302,-0.115703506,0.008341486,0.192744428,0.074421768,-0.167210376,-0.160240262,-0.085791441,-0.076642581,0.37828584
1991/12/31,0.770593092,0.262064477,0.388358883,0.204089329,0.090536121,0.186453369,0.180564585,0.207171371,0.129092978,0.153591954,-0.151384144,-0.176108935,0.175054331,0.125056783,-0.002728936,0.198955301,-0.097085163,-0.23981465,-0.06133563,-0.230642178,-0.062999351,-0.092945707,0.011085393,6.37E-05,-0.104994178,0.18038486
1992/1/31,-0.958230247,-0.112530426,-0.523150603,0.955958491,-0.132604721,-0.127895521,-0.371618532,-0.220947516,0.06077041,-0.154145598,-0.006150125,0.127109216,-0.096958046,-0.04743809,-0.226425725,-0.193588317,0.185478635,-0.165201371,-0.159574705,0.148071301,0.147407659,0.082930153,0.034121537,-0.206700401,-0.009035704,-0.096722557
1992/2/28,0.890205162,-0.569473128,0.930909446,0.642782636,-0.222855087,0.066914906,0.003495764,-0.054824247,0.087209329,-0.171741907,0.079648275,0.114623508,-0.016139118,-0.015359345,0.003509018,0.084428741,-0.04992918,0.014293022,-0.068227369,-0.029610679,-0.074693842,-0.023621955,0.113939655,-0.054916568,0.210412586,0.04761569
1992/3/31,0.815622718,-0.609786332,0.86886464,-0.85846372,0.234810711,-0.173127253,-0.063498874,-0.150934463,0.09164423,-0.039126533,-0.090068614,-0.05523652,-0.072626618,-0.16900448,0.293087143,-0.248597004,-0.078418449,-0.056942703,0.221818448,-0.086582755,0.032466594,0.00596962,-0.13461086,0.093597441,-0.00016881,0.010606141
1992/4/30,-0.133784628,-0.916644919,-0.922494856,-0.338319102,-0.24314235,-0.31862783,-0.17951153,-0.11936285,-0.272952257,-0.152411418,-0.178118483,-0.134356133,-0.097791989,-0.290890858,-0.437935369,-0.127932248,0.069365932,0.098869039,-0.021978964,-0.224860679,-0.177974211,0.211946266,0.137388972,-0.184278531,-0.102652833,-0.257950698
1992/5/29,-0.392963363,-0.698751201,-0.790664199,-0.61824908,-0.018885498,0.092154545,-0.132845789,-0.151329544,0.021490034,-0.135840002,0.048210841,0.216581177,-0.036025161,0.06627991,-0.306973364,-0.259118454,-0.063425732,0.025925027,0.061497222,-0.127589513,0.006913555,-0.031390693,-0.141263372,0.015659266,-0.109230456,-0.012288897
1992/6/30,0.847421047,0.705115643,-0.295591971,0.524957888,0.000654513,0.030559774,-0.048880033,0.15059051,-0.048685926,0.253527657,-0.089030451,0.164402845,-0.171661094,0.258445542,-0.137426857,-0.043040968,0.054227517,-0.087042453,0.072392045,0.173817342,0.047112497,-0.010382476,-0.055373013,-0.189671662,-0.171008345,0.064278951
1992/7/31,0.078482853,-0.714909316,0.447403478,0.072072113,0.079897231,-0.01945793,0.115218301,-0.109266599,0.096229915,0.088530312,-0.02737427,0.116666021,0.026720542,-0.051677974,-0.162354324,0.002645222,-0.001922294,0.142198254,-0.147360587,-0.009053201,0.057044951,-0.04785618,0.026075905,-0.240026252,-0.190727149,0.017338615
1992/8/31,-0.379172695,-0.069179807,-0.677216367,-0.739090996,0.014056262,-0.031652613,0.128348583,-0.08709584,-0.233278958,-0.223353275,0.251502346,0.243120641,0.154213743,0.066873284,-0.21701704,0.161526488,0.219010162,0.240935342,0.135529724,0.031012808,-0.166413767,-0.084709581,-0.012189972,-0.074709169,0.058755305,0.077641354
1992/9/30,-0.588817374,0.363336321,-0.301987531,0.928840946,0.035517827,-0.116875579,0.079005237,-0.127272897,-0.130874469,0.159036727,-0.379756992,0.080310848,-0.100487552,0.202655636,-0.027939287,-0.026445096,-0.069218463,-0.035126718,-0.187603075,-0.121681661,-0.098337128,-0.000108466,0.101489157,0.11046802,-0.245822258,0.008536234
1992/10/30,0.433588713,0.570576994,0.813697638,0.396893478,0.126954693,0.067019546,0.267059512,0.076491757,0.011825357,0.302471729,0.043459452,-0.067127459,0.136253481,0.134648008,-0.377533369,-0.312488618,-0.120341212,0.201894452,-0.062546269,-0.006117794,-0.079936596,-0.223312246,0.069820811,0.062770354,0.074886566,0.201641259
1992/11/30,-0.240241054,0.764354536,0.320839821,0.847555956,0.017401047,-0.058739098,0.159344565,0.013552378,-0.051873555,-0.057171871,0.162643611,-0.091524776,0.103308778,0.17231528,-0.200791762,-0.098532049,0.092852199,-0.17041333,0.012094318,0.199182893,0.048584338,0.067431297,-0.023745588,0.007167977,0.151772783,0.102702247
1992/12/31,0.741891854,0.836080587,0.921196787,0.940022822,0.195885688,-0.073265514,0.235718594,-0.182560318,-0.125409056,-0.008133482,0.100307581,0.097466044,-0.175646821,-0.095589069,0.115177574,-0.053908234,-0.043235836,0.007041565,-0.068685142,-0.165427405,0.067748396,0.070970613,-0.022378824,0.083193726,-0.093703558,-0.214003504
1993/1/29,-0.959005174,0.340792132,-0.225452958,0.916000544,0.232922901,-0.198393575,-0.118555991,-0.288999626,0.074681396,-0.125377999,0.195651071,-0.112363276,0.134783972,0.100512471,0.153913324,0.085837439,0.17940738,0.03941789,0.026653567,-0.001024952,0.097811649,0.20921882,-0.084179848,-0.069178425,-0.026965193,-0.089294787
1993/2/26,-0.737806838,0.926526464,-0.555185379,0.821285732,-0.044124364,-0.224264109,-0.1264422,-0.380716184,-0.13510236,-0.15043923,-0.044158206,0.092286324,0.062866994,-0.237139559,-0.216179771,0.024529679,0.030876184,0.009103935,-0.067458217,0.001031981,0.025832155,0.207057593,0.044612192,-0.237166343,-0.256503082,-0.044607859
1993/3/31,0.101600159,0.341860096,0.965707636,-0.569639348,-0.168660988,-0.047492852,-0.051536961,-0.22004979,-0.065933751,0.063212474,0.014403847,0.138002497,0.012963265,-0.304600208,0.006975813,-0.042076005,0.003392111,0.177404811,-0.161500121,0.106254575,-0.061798575,0.098799613,0.109520546,-0.086043267,-0.093357736,0.082136845
1993/4/30,0.312292352,-0.939795406,0.346342294,-0.873896629,-0.106381169,0.236268742,-0.171847672,-0.089432266,-0.238752499,0.287039088,0.124551409,-0.130906347,-0.000399695,-0.135778827,0.073241826,-0.226429542,0.167777014,0.013753727,0.113726768,-0.154965495,0.151804298,-0.085218536,-0.192639844,-0.068161168,-0.085109088,-0.187923244
1993/5/31,0.313561926,0.437841115,0.278120825,0.792329268,-0.069858825,-0.155941676,0.004066006,-0.006195558,0.099911232,-0.11079596,-0.071777368,0.121154845,-0.024147798,0.234808149,-0.036685997,0.193484505,0.009815362,0.072139356,-0.08580431,0.296734855,0.034261854,-0.127879129,0.022879399,-0.025746621,0.059034166,0.177411027
1993/6/30,-0.220946009,-0.237552065,0.44869664,0.140257817,-0.075339271,0.018814252,-0.055019847,-0.094149213,0.08959686,-0.084173421,0.229147092,0.14181553,0.071398123,-0.008464916,-0.085135974,0.152944262,0.08464961,-0.159500559,-0.173093335,-0.168812903,0.245258521,0.120963854,-0.023694025,0.089175246,-0.249006667,-0.24702952
1993/7/30,0.272779726,-0.514536678,0.061779117,-0.428864461,0.270450043,-0.065561559,0.004199551,-0.275470432,0.181462945,-0.173904191,-0.052419021,0.086641888,0.04087531,-0.193680614,-0.099852034,0.084275271,0.052002175,0.047075111,0.044978243,-0.017701232,0.197771049,0.26671056,-0.150680543,-0.027680683,-0.13981365,-0.183456582
1993/8/31,-0.520953763,-0.190581782,-0.174379,-0.296753197,0.207202432,-0.166537604,0.175086288,0.028790307,0.114342453,-0.10385167,-0.012544176,0.137724484,0.183947204,0.072115755,-0.062701209,-0.103107174,-0.334949976,0.019688508,0.047874382,-0.19796191,-0.08820095,0.087860204,0.111776332,-0.265668828,-0.009258277,0.016097965
1993/9/30,0.722572344,0.900407105,0.357524326,0.780106134,0.125183889,0.049396439,-0.063825259,0.00529502,0.048193415,0.102860861,0.006905255,-0.118575252,-0.096057071,0.20665995,0.255318137,0.044000971,0.109100936,0.037547082,-0.12036191,0.058403855,0.046555701,-0.071318559,-0.034629868,-0.107220243,-0.144368891,0.098441139
1993/10/29,0.230329797,0.718649647,0.065393232,-0.322833687,-0.093884823,0.027372803,-0.075661519,-0.03331121,0.069869325,0.149669323,0.00568375,0.036548062,-0.052466461,0.079503528,-0.209807164,-0.017446561,-0.093149208,-0.091993338,-0.001874333,0.224070128,0.078257969,0.071392402,-0.228872364,0.145755079,0.075029111,0.015461679
1993/11/30,-0.718772129,0.357370156,-0.879939254,0.718458683,-0.134681115,0.048465511,-0.043965061,0.146410205,0.117152291,-0.103692011,0.128829957,-0.080663858,-0.075519514,-0.125054127,-0.285107721,-0.146071475,-0.020711864,0.023946486,0.018119,0.179595145,0.094499954,-0.215101052,-0.130393862,0.09484679,0.148641949,0.14332294
1993/12/31,0.891154725,-0.625370059,0.258099251,-0.183079023,-0.073155276,0.233940413,-0.004074828,-0.003909012,0.028526746,0.040779042,0.14289316,-0.153388849,-0.014307477,-0.072733862,0.320944306,0.012181407,0.246642555,0.043655196,-0.249371777,-0.071105272,-0.227360282,-0.244328339,0.142204712,-0.004695628,-0.160006809,-0.125891208
1994/1/31,-0.62206586,0.408702798,0.593471415,-0.965386496,-0.030716439,-0.064471571,-0.10789592,-0.17664664,0.04183721,0.208802082,-0.034345142,0.183322279,-0.090546346,0.121436269,0.198887699,-0.101056796,0.234864823,0.082404875,-0.20846928,-0.069266851,0.045967315,-0.072002138,-0.088689369,-0.020055301,-0.090203782,-0.055779088
1994/2/28,0.78047566,0.941364599,0.583524564,-0.30930765,-0.203928564,0.09372494,0.057666193,-0.098780696,0.248438397,0.117429516,0.138280758,0.242491623,0.039733846,0.18083411,-0.119323842,0.128101978,-0.117522749,-0.016827706,0.072632898,0.160298296,-0.16016108,-0.179157048,-0.060259016,0.005277679,0.525107714,0.319378838
1994/3/31,-0.086627479,0.357812231,-0.981004081,-0.527222242,0.152293435,-0.055122545,0.056341667,0.011322167,0.079265126,0.11746063,0.019750121,-0.101129234,-0.109414368,-0.27473043,-0.096411944,0.132451469,0.088900702,0.114876795,0.11805014,0.206631557,-0.153698986,0.031325526,0.125225516,-0.098726191,-0.120519794,0.156073054
1994/4/29,-0.016772708,-0.585124775,0.994421258,-0.211743628,0.135128294,-0.067254003,-0.094813756,0.031894955,-0.009034363,-0.084698307,0.038703198,0.002257909,0.023895629,0.038560484,-0.297903223,-0.132905785,-0.020203075,0.097966804,0.082240108,-0.048468842,0.280694158,-0.023323463,-0.223104586,-0.231101457,-0.220078889,0.074094301
1994/5/31,-0.941180381,0.424401887,0.296009461,0.353934522,0.060512946,-0.002636911,0.13267666,0.010765369,-0.032749135,-0.014312898,-0.007596089,-0.042436138,0.058463772,-0.293122338,-0.194092751,-0.443789471,0.058459901,0.002769349,-0.045798965,-0.271475534,-0.094897957,0.011482825,0.081778701,0.123314279,-0.109339751,-0.338180582
1994/6/30,0.631499069,-0.211371823,-0.427800144,0.070333405,0.080259496,0.245901825,0.031363036,-0.007433426,-0.095889076,0.238719926,0.224281065,-0.18593208,-0.03193874,-0.005622834,-0.445631631,-0.013300813,0.121070032,-0.066070111,0.050244949,0.041267131,-0.059416943,0.051023235,-0.088143786,-0.160928484,0.023314146,-0.080775049
1994/7/29,0.501505427,-0.679027251,0.180346848,-0.110094327,0.102415511,-0.01997248,-0.38310704,-0.242891174,-0.001734938,0.001703732,0.039362235,0.020847056,0.254818602,-0.097444249,0.054498932,0.2217561,0.039817395,-0.105273388,-0.384298136,-0.281332281,0.263092773,0.017790925,0.09466161,-0.072135863,-0.207183515,-0.023307562
1994/8/31,-0.435701561,0.099734613,-0.207744978,0.417467263,-0.13672741,0.211278331,-0.00814657,0.373547693,-0.141085259,0.17891741,0.000380965,-0.12216098,-0.001916759,0.127064705,0.147258432,0.020845503,0.175523826,0.124461447,0.091291424,0.045518362,-0.049428838,-0.314322735,-0.256540985,0.109069226,0.137035622,0.05003239
