Date,pe,pe,pb,pb,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
1990/4/30,-0.025832272,0.523056818,-0.060804384,0.222731853,0.05311325,-0.061145689,0.083192786,-0.151808027,,,-0.073985231,-0.23396482,-0.018606598,0.131718183,,
1990/5/31,0.160498962,0.119744535,0.206180474,0.455743063,-0.110939538,0.055382681,-0.017770604,-0.195847199,,,-0.380490244,-0.270331408,0.122710344,0.416439695,,
1990/6/30,0.159420946,0.527453977,0.203054192,0.336587898,0.098735482,0.052568902,0.008928745,-0.12090686,,,-0.184151332,-0.199872803,-0.144959654,0.079646764,,
1990/7/31,-0.140788515,-0.792116174,-0.00572972,-0.274227183,-0.181092796,-0.07165871,-0.017527071,0.064756401,-0.367996759,0.321400633,0.188196069,0.022178607,-0.09791422,-0.148906024,-0.381236812,-0.040227701
1990/8/31,-0.136521849,-0.185484716,0.115459171,-0.110888784,0.111417269,-0.002754904,-0.156312997,-0.058796551,0.518868799,0.480575497,-0.261238987,-0.07093451,0.134325145,0.080174185,0.608079885,0.275780336
1990/9/30,-0.013380802,0.03914277,0.067290589,-0.042922158,0.418207125,0.209170359,-0.458012146,-0.03841547,-0.076148721,0.190677838,-0.263216639,0.152905086,0.116744805,0.030377123,0.389535601,0.218413714
1990/10/31,0.225415141,-0.052286927,0.136718331,-0.137393705,0.217597548,0.015400648,-0.131281124,-0.090101971,0.020020654,-0.009739926,-0.059796235,0.10861899,-0.089364428,-0.231002422,-0.058080536,-0.25776123
1990/11/30,0.231936035,-0.174702769,0.063259898,-0.120717553,0.042808132,-0.378048303,0.014047652,0.057861169,-0.330750586,0.467145735,-0.384258503,-0.295636841,0.108141875,0.380814345,-0.117738381,0.489734052
1990/12/31,0.183358259,-0.049907072,0.056566301,-0.140850213,-0.185953896,-0.219505704,-0.022163648,-0.216578857,0.134013289,-0.058106134,-0.003869507,-0.144377565,-0.027262582,-0.005959573,-0.058274747,0.407845926
1991/1/31,-0.092792093,-0.187720865,0.018685178,-0.033620618,-0.427834308,-0.317287206,0.030441149,-0.247386979,-0.448902537,-0.027815264,0.468268694,-0.238532465,-0.137205572,0.132845753,-0.547954216,0.251622593
1991/2/28,-0.041667308,0.090536492,-0.167961704,0.13478233,-0.245353617,-0.29601862,0.086594098,0.06722212,0.35455472,0.246990896,-0.031870973,-0.061268791,-0.061909888,0.201287374,0.341408499,-0.048173152
1991/3/31,-0.361814141,0.279386764,0.17728721,-0.049793873,0.144098796,0.362468955,0.006147027,0.059729504,0.454672669,-0.291142972,0.184642433,-0.20260282,-0.179319359,0.058240179,0.204546424,0.151501588
1991/4/30,-0.056480225,0.075307004,0.109886769,-0.188639992,0.120782709,-0.139379,0.160115289,0.162933184,-0.054169552,0.089685343,-0.212269354,0.091137999,0.034700401,-0.273198624,-0.054927609,0.026680193
1991/5/31,0.247380174,-0.047384196,-0.17467161,0.157589932,-0.009529215,0.149946824,-0.14288242,0.049299176,-0.027986266,-0.003849966,0.132678874,-0.083623189,-0.060903853,0.077475242,-0.12263621,0.057330512
1991/6/30,-0.203748692,-0.037322725,-0.077497746,0.013866703,-0.120886088,0.066103405,-0.209961895,0.02480245,0.107108972,-0.117055244,-0.117525869,0.185396682,-0.048606491,-0.183934185,0.113776294,-0.048814135
1991/7/31,0.101390803,0.058391551,-0.042399183,0.069888578,0.032452187,0.223827001,-0.027354197,-0.120232689,-0.155079605,-0.019619397,-0.024066852,-0.033710869,0.050186482,0.138787869,-0.024478814,0.079735427
1991/8/31,-0.07540745,-0.089288451,-0.059322315,0.074142019,0.120093767,0.366217752,0.174448083,-0.09431736,-0.303785636,-0.030832447,-0.169175665,-0.039213668,-0.034497091,-0.205364541,-0.153461769,0.359423086
1991/9/30,-0.240456066,-0.088192476,0.224244527,-0.013497196,0.16341125,0.067080645,-0.020445192,-0.121290233,-0.081773631,-0.077873746,-0.008543389,0.174412053,-0.162882088,-0.051998722,-0.130614846,-0.029895225
1991/10/31,0.022546135,0.259961125,-0.119333703,0.168389956,0.244776849,0.009012843,0.058462472,-0.006570495,-0.069534372,-0.011788506,0.094524159,-0.131273972,-0.273458977,-0.040495216,0.122048263,-0.050977533
1991/11/30,-0.164084865,-0.109139408,-0.097307911,0.037716548,0.050317441,0.019296719,-0.19630984,-0.031872156,0.095005011,-0.059883685,-0.105118486,0.103757889,-0.112020024,-0.092273994,0.125039377,0.034818916
1991/12/31,-0.178835756,0.076365909,-0.02570465,0.044556313,-0.138937244,0.290905256,-0.161895746,0.006332952,2.86E-05,-0.398314707,-0.019645953,-0.07496342,-0.052116927,0.131849341,0.051455517,0.143145729
1992/1/31,-0.099066747,-0.101490785,-0.200209357,-0.084986598,-0.142398555,-0.240472105,-0.175492931,-0.078558262,-0.066511485,0.171750169,0.131230185,-0.072052745,-0.145043901,-0.172016114,-0.176993292,0.112552769
1992/2/29,-0.071585457,-0.019491114,-0.089028649,-0.235413839,-0.008065035,-0.076790542,-0.015932447,-0.165442025,-0.218163671,-0.04177003,0.003715192,-0.087665724,0.066710442,-0.006050118,-0.171493044,0.013825858
1992/3/31,-0.200369005,-0.050598016,-0.210995114,-0.424966011,0.281325089,-0.199614112,-0.073841533,-0.038179464,-0.005717544,0.136722521,-0.231691656,0.195509401,-0.179769819,0.019418472,0.104736785,-0.332267339
1992/4/30,0.034814654,0.012575146,0.061950508,-0.395237736,-0.198213958,-0.153900151,-0.080227432,-0.017305768,-0.308671907,-0.094388451,0.101157393,0.145410878,0.057842974,-0.252779889,-0.228881293,-0.314171545
1992/5/31,0.045720857,0.053693623,0.027199158,0.032600568,-0.339986419,-0.237504291,0.004084714,-0.02341512,0.181946743,-0.144686717,-0.075475954,0.170040746,0.055290631,-0.109142384,-0.024880249,-0.301150561
1992/6/30,-0.140983598,-0.039802538,0.138584763,-0.007863972,-0.080758506,-0.116978471,0.073016076,0.045309131,0.154882331,0.119709316,-0.045923333,0.039788789,-0.15456241,-0.105409172,0.083994814,-0.150085152
1992/7/31,0.036679205,-0.120619043,-0.188755846,0.048841322,-0.021370488,-0.128431341,8.68E-06,-0.095814632,0.131598908,-0.19515727,-0.176204089,0.026031429,0.137833435,-0.282732565,0.090010592,0.014440001
1992/8/31,0.097893213,-0.116377879,0.039324911,0.096286098,0.098577043,-0.133608261,0.194150252,0.031670451,0.013486587,-0.001093843,-0.238120154,-0.070131177,0.104751853,-0.132952627,0.045286403,0.168524924
