Date,pe,pe,pb,pb,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
1990/4/30,-0.968842876,0.490927829,-0.772113143,-0.098746893,-0.496100084,-0.817200107,-0.342321009,-0.103693031,,,0.841368098,0.50881939,0.48254396,-0.678897827,,
1990/5/31,0.211247391,0.252401784,0.886405921,0.350380964,0.95622174,0.361598805,0.849128883,-0.776147863,,,-0.828627367,0.592491296,0.01700499,-0.437389834,,
1990/6/29,0.043349446,0.224895644,0.251220591,-0.07383059,-0.071932929,-0.035260258,0.527853475,0.283683739,,,-0.795805204,-0.254545296,0.331215668,0.345578965,,
1990/7/31,-0.451140977,0.037760528,-0.230974923,0.200286373,-0.264691104,-0.39440701,-0.164461127,0.757803566,0.336405814,0.346765713,0.459818077,-0.063971775,-0.892989872,0.089555014,0.136362499,-0.010027638
1990/8/31,0.21030348,-0.141777456,0.153046483,0.018089602,0.130135327,-0.360890964,-0.272796817,0.061238684,0.516890212,0.439700937,-0.693746354,0.140239681,0.086706125,-0.087151859,0.28225546,0.231707242
1990/9/28,-0.017646552,0.073006106,0.31399587,-0.213079413,0.261291702,0.323621212,0.645347788,0.106919492,0.241343209,0.187389453,0.153469878,0.53385377,0.061548614,-0.342401456,-0.094476872,0.450487971
1990/10/31,0.376802047,-0.034203385,0.353730972,-0.138512136,0.342411499,-0.291265983,0.298828346,-0.052725172,0.031950724,0.034728996,-0.357312591,-0.196128015,0.191285083,0.052153511,-0.092801799,-0.16908979
1990/11/30,-0.387905396,-0.155805259,-0.043524045,0.353676093,0.11024503,-0.140236841,-0.175173469,-0.030292592,0.075168932,0.411067697,-0.623593511,-0.22953854,0.235336196,0.282419097,0.155103186,0.058424947
1990/12/31,0.12682712,-0.10550265,-0.548133296,0.018263281,-0.186411982,-0.173327819,-0.249061885,-0.300301976,0.12641053,-0.112423939,-0.229370629,-0.316938105,-0.395698913,0.224979038,0.506642989,0.023703569
1991/1/31,-0.366703403,-0.084103857,-0.197878213,-0.0303592,-0.495202046,0.034910558,-0.283370376,0.023383761,-0.28406339,0.432105659,-0.086017809,-0.173313292,0.009056255,-0.068233654,0.064210355,0.176047497
1991/2/28,0.003439336,0.303245868,0.115937601,0.068968554,-0.302472991,0.029097589,0.152303086,0.255208959,0.329515544,0.092387506,0.143843238,0.250938565,0.103717739,-0.151686329,0.105574042,0.032776715
1991/3/29,-0.230244028,0.119113643,-0.061693953,0.224817518,0.148479435,0.465236152,-0.040142051,-0.006673634,0.218176801,0.202598641,0.049902463,-0.174771059,-0.26659181,0.104806499,0.353293842,-0.102691443
