Date,eps,eps,sps,sps,prof_mar,prof_mar,roic,roic,ninc,ninc,cfo,cfo,cf,cf,sg,sg,mom,mom,pe,pe,pb,pb
1990/3/30,,,,,,,,,,,,,,,,,0.025647476,-0.083733348,-0.37352344,0.364178817,-0.033039034,0.268243651
1990/5/31,,,0.730376407,0.437226421,0.12538906,0.256929519,,,0.922480989,0.748724764,,,,,-0.654391404,0.314377025,-0.106770671,0.070435999,0.32571837,0.584492905,-0.108206979,0.411240091
1990/6/29,,,0.80671941,0.442946184,0.000174376,0.222550121,,,0.959531444,0.620522301,,,,,-0.216600277,0.073831542,-0.045761368,0.271132419,0.221705727,0.540569461,0.1195049,0.543820291
1990/7/31,,,0.99628292,0.974077102,0.223850797,0.054840018,,,0.526519376,-0.475731812,,,,,-0.77744847,0.899543452,-0.006958286,-0.021262102,0.231128621,0.36431965,0.265362529,0.277414988
1990/8/31,-0.903738301,0.881796301,-0.990891801,0.014109243,0.043776238,-0.025575698,-0.33007351,-0.488376689,-0.159541826,0.294782793,,,0.313045204,-0.756497103,-0.299173379,-0.306621002,-0.161288705,-0.180476135,-0.09113795,-0.03644154,0.015668695,-0.134606459
1990/9/28,-0.660085033,-0.186905903,-0.142996151,0.808344027,0.101410384,-0.046737014,-0.31102818,0.153401908,0.635133033,0.37128907,,,0.325445873,-0.227152192,0.02725049,-0.479408358,0.145544817,0.064545948,0.015594493,0.16093488,0.062162079,0.142776967
1990/10/31,-0.011310646,-0.941689364,-0.555325922,-0.089595397,0.076999442,0.180023696,-0.452367781,-0.57276202,-0.077637682,0.217031488,,,0.585986771,-0.832619382,-0.129860173,-0.203256429,0.331424509,0.022954456,-0.554939131,-0.090962932,0.046423493,-0.195939147
1990/11/30,0.979431714,0.465477309,0.793828945,0.523654226,0.351908584,0.228992166,0.378799164,0.053253934,0.207094906,0.12663574,,,-0.209211338,0.166775634,-0.054397388,0.045903839,0.156368667,0.04357077,0.153783651,0.193220629,0.224957471,0.066172989
1991/1/31,0.968260246,-0.124027199,0.98047702,-0.388972765,0.182475753,-0.024230866,-0.191808906,0.181362075,0.098658371,0.279335647,,,-0.063685232,-0.402155158,0.306100862,0.4076212,0.016630939,-0.23814211,-0.147491267,0.168433921,-0.058316492,0.164070046
1991/2/28,-0.964087604,0.513129674,-0.752230155,0.978863065,-0.000162894,-0.138532787,0.378491519,0.220468875,0.004159904,-0.203760429,,,0.135783699,-0.310776148,-0.047718899,-0.043269489,-0.25469863,-0.26241245,-0.047225514,-0.22757109,-0.295350261,-0.041156338
1991/3/28,0.931939154,-0.210656263,0.741545823,-0.020610184,-0.38638449,-0.073521296,-0.392368269,0.442656147,-0.322164354,-0.046813929,,,-0.242009877,0.16654755,-0.239571564,-0.265925731,-0.422510765,-0.463099419,-0.296420523,-0.032636471,-0.234260161,-0.095872074
1991/4/30,0.257505222,0.986239829,-0.103726414,0.683469236,-0.0230409,-0.115638615,0.051790828,-0.138391856,0.217349948,-0.336633233,,,0.052238612,-0.381157637,0.244163324,-0.180434778,-0.234105272,-0.236467677,0.01501379,0.229430486,-0.067962782,0.168531841
1991/5/31,0.042098337,0.955936857,0.395363508,0.933306169,0.115657287,0.008124966,0.397039117,0.290761224,0.171727656,-0.175324166,,,0.126883229,-0.443579427,0.133662854,-0.045917596,0.252382009,0.39363843,-0.295172649,0.163402554,0.215757383,0.207766703
1991/6/28,-0.005386383,0.329400553,-0.368051463,-0.159220805,0.200816628,0.098146765,-0.006825939,-0.117959204,0.247841317,0.045441495,,,-0.025297424,0.066778508,0.06388746,0.056234349,0.04648571,-0.163586042,-0.070720652,0.118799552,0.001173259,-0.0363155
1991/7/31,0.04003772,-0.009336264,0.400052863,-0.438817128,-0.165572267,0.021681658,-0.122748257,-0.001758383,0.17351257,0.026769488,,,0.092706711,0.051661031,-0.187160086,0.008202674,0.028591271,0.210485553,0.222409857,-0.015639502,-0.225169223,0.119875439
1991/8/30,-0.075488061,0.399117365,0.29166414,-0.104115604,-0.044712327,-0.054958214,0.178995321,0.032889718,-0.096502736,0.034070237,,,-0.127328295,0.165601572,-0.046033138,-0.272395896,-0.070810564,-0.153897423,-0.276198913,0.037009471,0.104858984,0.009862083
1991/9/30,-0.687964728,0.93455877,-0.353418815,0.98876553,0.029967899,0.148307892,0.074645,0.161151679,0.025793379,0.219682718,,,-0.13198176,-0.096162707,-0.066580933,0.090630927,-0.108664859,0.068457679,0.169881542,-0.067176178,0.115471726,0.310520371
1991/10/31,0.624413653,0.835970299,0.87808163,0.823582447,-0.286846212,0.044922121,-0.204044164,0.257400617,-0.539946276,0.241099202,,,-0.041874426,0.054894325,-0.275501422,0.36430366,0.233173649,0.148593452,0.108916818,0.137118167,-0.173276231,0.229701589
1991/11/29,-0.364178392,-0.853251423,0.024704682,-0.643475645,0.152510807,0.115764716,0.035604104,-0.153250588,0.174861086,-0.013597681,,,0.04696102,0.02304531,0.11179219,-0.154427286,0.001450651,-0.061863107,-0.238098136,-0.142923062,0.067161544,-0.131465476
1992/1/31,0.983436948,0.930939297,0.978580902,0.822579044,-0.023679898,0.162231528,0.002486905,0.204557888,0.116448712,0.234459766,,,0.14911958,0.014273831,-0.057611752,0.149588938,0.096785533,0.274551672,-0.203326648,0.104829909,-0.16298319,0.179954589
1992/2/28,0.907592156,0.635743572,0.999046172,0.843580222,0.156245438,0.226523259,0.087674136,0.281273569,0.110028324,0.43449931,,,0.031317609,0.204013847,0.010427094,0.539607575,-0.1253834,0.070141318,-0.14713797,-0.085318519,-0.135007178,0.314816742
1992/3/31,0.979967652,0.863502696,0.982172734,0.969054491,-0.123547693,0.128422839,0.016029756,0.287748985,0.101843006,0.393808611,,,0.009691226,-0.017437762,0.097038723,0.484471385,-0.032937061,0.14380673,-0.166434992,0.147112267,-0.077740782,0.287895639
1992/4/30,0.930530442,-0.622825262,0.946910791,-0.90029434,0.068739068,-0.067225429,-0.158034363,-0.189181591,0.099208607,-0.114920866,,,0.048765704,0.128454323,-0.138139034,-0.006387417,0.138224765,-0.346439713,-0.116120719,-0.086147773,-0.165868721,-0.233308118
1992/5/29,0.969589828,-0.020096174,0.980142239,0.281262131,0.016593837,-0.083109743,-0.256944999,0.00511013,0.06766269,-0.0891056,,,0.093375807,-0.211952517,4.04E-05,-0.085096773,0.047391043,-0.088581008,-0.184603368,0.12085145,-0.182851197,-0.149838312
1992/6/30,-0.912805281,0.283771725,-0.931213956,-0.034436864,-0.021520751,-0.178725922,0.01355937,-0.38142495,0.105202745,0.039771356,,,-0.102871758,-0.088444895,-0.186123944,-0.192966292,0.005876979,-0.164034512,-0.231555736,-0.036492749,-0.188127846,-0.261547418
1992/7/31,-0.809718911,0.343073129,-0.900982144,-0.919265097,-0.260416707,-0.350194993,-0.209696412,-0.361332448,-0.234030582,-0.180460932,,,-0.124912611,-0.22675273,-0.222501627,-0.402952479,-0.299970343,-0.2451543,0.25302082,0.224904063,0.042192571,-0.4340627
1992/8/31,-0.716478451,-0.474433945,-0.497875117,0.933178716,-0.036718327,-0.085233388,0.007908778,-0.167363217,0.095372689,-0.180882834,,,0.105520395,0.176062,0.211901019,-0.000698861,-0.297644711,-0.130556884,0.178565825,0.287813388,-0.056477752,0.174502717
1992/9/30,-0.593079813,0.846942341,-0.771250152,-0.738900959,-0.107730939,0.294918686,0.030457779,-0.070229451,-0.095410042,0.174071105,,,0.010804813,0.069092627,-0.11772787,0.071035688,-0.089975012,-0.125340489,-0.207718628,-0.105060557,0.09340685,-0.069824314
1992/10/30,0.454959367,0.309965333,0.735039391,0.368831147,-0.04471857,0.048343749,0.014445391,0.029662217,0.109609178,0.080534973,,,-0.00844784,0.015395047,0.086698962,0.081130569,0.001892234,-0.222948555,0.186820999,-0.239137665,-0.04940194,0.073878508
1992/11/30,0.978178699,0.811653734,0.574401412,0.742674515,0.082391202,-0.021449404,0.193739207,0.110827961,-0.195569218,0.17180246,,,0.071122565,-0.140577595,-0.006444818,0.022024689,-0.117694211,-0.061777518,0.231293216,-0.09605101,0.026735726,0.173020277
